"Kod";"Nazwa";"wymeldowania ogółem;ogółem;2008;[osoba]";"wymeldowania ogółem;ogółem;2009;[osoba]";"wymeldowania ogółem;ogółem;2010;[osoba]";"wymeldowania ogółem;ogółem;2011;[osoba]";"wymeldowania ogółem;ogółem;2012;[osoba]";"wymeldowania ogółem;ogółem;2013;[osoba]";"wymeldowania ogółem;ogółem;2014;[osoba]";"wymeldowania ogółem;ogółem;2015;[osoba]";"wymeldowania ogółem;ogółem;2016;[osoba]";"wymeldowania ogółem;ogółem;2017;[osoba]";"wymeldowania ogółem;ogółem;2018;[osoba]";
1400000;"MAZOWIECKIE";54748;53102;57520;55688;52740;56849;56165;0;48861;52351;59308;
1401000;"Powiat białobrzeski";327;322;342;426;365;406;403;0;369;342;392;
1401013;"Białobrzegi (3)";120;135;141;154;143;165;131;0;146;122;150;
1401014;"Białobrzegi - miasto (4)";97;105;113;119;111;120;97;0;107;67;112;
1401015;"Białobrzegi - obszar wiejski (5)";23;30;28;35;32;45;34;0;39;55;38;
1401022;"Promna (2)";47;62;44;71;53;66;74;0;85;44;59;
1401032;"Radzanów (2)";43;41;41;48;47;27;41;0;25;34;40;
1401042;"Stara Błotnica (2)";39;30;42;70;48;61;69;0;34;53;51;
1401052;"Stromiec (2)";38;29;50;45;44;61;57;0;44;58;61;
1401063;"Wyśmierzyce (3)";40;25;24;38;30;26;31;0;35;31;31;
1401064;"Wyśmierzyce - miasto (4)";12;13;9;9;8;4;4;0;12;8;11;
1401065;"Wyśmierzyce - obszar wiejski (5)";28;12;15;29;22;22;27;0;23;23;20;
1402000;"Powiat ciechanowski";1167;1208;1367;1202;1188;1156;1165;0;1002;1146;1246;
1402011;"Ciechanów (1)";568;598;768;674;690;579;610;0;513;521;574;
1402022;"Ciechanów (2)";82;108;112;98;76;83;93;0;73;111;119;
1402033;"Glinojeck (3)";85;123;100;90;87;110;104;0;97;129;128;
1402034;"Glinojeck - miasto (4)";48;50;44;39;29;40;51;0;44;58;48;
1402035;"Glinojeck - obszar wiejski (5)";37;73;56;51;58;70;53;0;53;71;80;
1402042;"Gołymin-Ośrodek (2)";63;78;55;53;53;61;59;0;40;46;60;
1402052;"Grudusk (2)";61;60;48;39;52;57;55;0;52;40;78;
1402062;"Ojrzeń (2)";57;34;64;36;25;51;41;0;36;59;36;
1402072;"Opinogóra Górna (2)";90;91;79;70;84;77;69;0;63;78;86;
1402082;"Regimin (2)";91;57;59;66;43;50;53;0;45;64;64;
1402092;"Sońsk (2)";70;59;82;76;78;88;81;0;83;98;101;
1403000;"Powiat garwoliński";923;1035;1072;1038;1113;1151;1198;0;1049;1044;1299;
1403011;"Garwolin (1)";207;191;188;179;178;240;233;0;169;178;202;
1403021;"Łaskarzew (1)";36;66;59;53;46;50;57;0;72;54;61;
1403032;"Borowie (2)";39;46;48;31;33;44;47;0;34;41;59;
1403042;"Garwolin (2)";92;109;104;93;115;103;129;0;105;121;143;
1403052;"Górzno (2)";42;61;61;53;60;80;62;0;53;62;86;
1403062;"Łaskarzew (2)";39;35;54;37;51;51;54;0;36;68;87;
1403072;"Maciejowice (2)";67;56;66;69;75;88;65;0;75;59;67;
1403082;"Miastków Kościelny (2)";33;42;43;54;57;38;73;0;65;45;64;
1403092;"Parysów (2)";20;25;39;50;49;38;23;0;54;41;39;
1403103;"Pilawa (3)";84;102;88;113;113;110;104;0;97;95;107;
1403104;"Pilawa - miasto (4)";44;41;36;46;40;39;43;0;29;44;35;
1403105;"Pilawa - obszar wiejski (5)";40;61;52;67;73;71;61;0;68;51;72;
1403112;"Sobolew (2)";62;84;83;85;87;79;94;0;78;81;91;
1403122;"Trojanów (2)";63;85;87;82;80;66;77;0;55;62;94;
1403132;"Wilga (2)";38;33;43;39;53;45;57;0;45;44;73;
1403143;"Żelechów (3)";101;100;109;100;116;119;123;0;111;93;126;
1403144;"Żelechów - miasto (4)";52;39;52;49;53;65;65;0;69;55;57;
1403145;"Żelechów - obszar wiejski (5)";49;61;57;51;63;54;58;0;42;38;69;
1404000;"Powiat gostyniński";580;576;600;510;455;490;506;0;462;539;516;
1404011;"Gostynin (1)";250;251;263;213;177;199;206;0;190;209;198;
1404022;"Gostynin (2)";134;139;158;110;139;130;125;0;93;135;135;
1404032;"Pacyna (2)";70;46;50;31;39;44;52;0;55;40;49;
1404042;"Sanniki (2)";54;72;62;73;57;62;67;0;72;85;;
1404043;"Sanniki (3)";;;;;;;;;;;81;
1404044;"Sanniki - miasto (4)";;;;;;;;;;;21;
1404045;"Sanniki - obszar wiejski (5)";;;;;;;;;;;60;
1404052;"Szczawin Kościelny (2)";72;68;67;83;43;55;56;0;52;70;53;
1405000;"Powiat grodziski";1093;1009;1074;1101;1043;1111;1066;0;932;974;1207;
1405011;"Milanówek (1)";241;176;255;249;228;234;234;0;182;201;291;
1405021;"Podkowa Leśna (1)";68;51;59;98;66;65;78;0;57;51;60;
1405032;"Baranów (2)";47;65;53;42;38;63;32;0;32;53;58;
1405043;"Grodzisk Mazowiecki (3)";558;570;558;529;570;575;543;0;479;485;583;
1405044;"Grodzisk Mazowiecki - miasto (4)";425;418;424;424;437;435;401;0;351;351;388;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";133;152;134;105;133;140;142;0;128;134;195;
1405052;"Jaktorów (2)";103;81;95;91;78;111;88;0;117;105;122;
1405062;"Żabia Wola (2)";76;66;54;92;63;63;91;0;65;79;93;
1406000;"Powiat grójecki";974;988;1060;1110;1054;1022;1156;0;1006;1019;1249;
1406012;"Belsk Duży (2)";60;64;61;80;63;68;80;0;76;61;71;
1406022;"Błędów (2)";60;81;64;49;63;72;63;0;65;80;91;
1406032;"Chynów (2)";70;68;92;95;59;74;87;0;75;72;97;
1406042;"Goszczyn (2)";30;16;21;41;19;30;28;0;44;33;30;
1406053;"Grójec (3)";295;309;358;331;389;302;383;0;327;285;368;
1406054;"Grójec - miasto (4)";195;207;262;237;275;188;251;0;223;189;241;
1406055;"Grójec - obszar wiejski (5)";100;102;96;94;114;114;132;0;104;96;127;
1406062;"Jasieniec (2)";53;44;58;44;56;53;74;0;52;38;72;
1406073;"Mogielnica (3)";93;79;89;91;77;103;110;0;97;108;114;
1406074;"Mogielnica - miasto (4)";24;39;38;31;25;44;35;0;33;34;48;
1406075;"Mogielnica - obszar wiejski (5)";69;40;51;60;52;59;75;0;64;74;66;
1406083;"Nowe Miasto nad Pilicą (3)";123;114;114;130;126;101;118;0;75;103;133;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";60;55;55;71;76;58;75;0;39;60;77;
1406085;"Nowe Miasto nad Pilicą - obszar wiejski (5)";63;59;59;59;50;43;43;0;36;43;56;
1406092;"Pniewy (2)";46;36;34;49;42;30;39;0;48;28;44;
1406113;"Warka (3)";144;177;169;200;160;189;174;0;147;211;229;
1406114;"Warka - miasto (4)";96;103;106;131;82;113;101;0;93;139;128;
1406115;"Warka - obszar wiejski (5)";48;74;63;69;78;76;73;0;54;72;101;
1407000;"Powiat kozienicki";681;747;771;770;742;784;820;0;753;770;831;
1407012;"Garbatka-Letnisko (2)";50;64;74;70;53;60;70;0;44;50;63;
1407022;"Głowaczów (2)";71;60;75;67;77;80;68;0;84;93;81;
1407032;"Gniewoszów (2)";45;44;40;56;59;42;31;0;50;49;42;
1407042;"Grabów nad Pilicą (2)";21;25;46;26;37;37;38;0;46;41;56;
1407053;"Kozienice (3)";399;469;425;455;414;485;494;0;436;435;479;
1407054;"Kozienice - miasto (4)";270;296;296;305;275;333;348;0;273;292;315;
1407055;"Kozienice - obszar wiejski (5)";129;173;129;150;139;152;146;0;163;143;164;
