"Kod";"Nazwa";"zameldowania ogółem;ogółem;2008;[osoba]";"zameldowania ogółem;ogółem;2009;[osoba]";"zameldowania ogółem;ogółem;2010;[osoba]";"zameldowania ogółem;ogółem;2011;[osoba]";"zameldowania ogółem;ogółem;2012;[osoba]";"zameldowania ogółem;ogółem;2013;[osoba]";"zameldowania ogółem;ogółem;2014;[osoba]";"zameldowania ogółem;ogółem;2015;[osoba]";"zameldowania ogółem;ogółem;2016;[osoba]";"zameldowania ogółem;ogółem;2017;[osoba]";"zameldowania ogółem;ogółem;2018;[osoba]";
1400000;"MAZOWIECKIE";66193;65390;70897;70042;66027;70202;69273;0;61811;65864;73994;
1401000;"Powiat białobrzeski";304;285;304;297;310;320;327;0;330;331;338;
1401013;"Białobrzegi (3)";94;120;121;98;123;96;123;0;95;95;123;
1401014;"Białobrzegi - miasto (4)";43;66;64;61;68;49;55;0;55;62;72;
1401015;"Białobrzegi - obszar wiejski (5)";51;54;57;37;55;47;68;0;40;33;51;
1401022;"Promna (2)";75;38;33;41;49;49;40;0;74;77;44;
1401032;"Radzanów (2)";22;17;35;22;21;36;31;0;21;35;26;
1401042;"Stara Błotnica (2)";46;44;31;41;35;44;38;0;53;65;48;
1401052;"Stromiec (2)";40;36;33;46;57;57;56;0;56;41;69;
1401063;"Wyśmierzyce (3)";27;30;51;49;25;38;39;0;31;18;28;
1401064;"Wyśmierzyce - miasto (4)";7;13;20;7;5;11;16;0;1;8;10;
1401065;"Wyśmierzyce - obszar wiejski (5)";20;17;31;42;20;27;23;0;30;10;18;
1402000;"Powiat ciechanowski";951;975;995;918;925;901;889;0;825;905;1082;
1402011;"Ciechanów (1)";461;414;381;395;353;372;401;0;340;400;514;
1402022;"Ciechanów (2)";164;157;214;144;194;165;145;0;144;147;173;
1402033;"Glinojeck (3)";77;88;84;83;64;82;71;0;91;55;58;
1402034;"Glinojeck - miasto (4)";29;47;31;31;27;22;15;0;40;22;21;
1402035;"Glinojeck - obszar wiejski (5)";48;41;53;52;37;60;56;0;51;33;37;
1402042;"Gołymin-Ośrodek (2)";33;39;38;26;24;32;38;0;26;43;37;
