"Kod";"Nazwa";"ogółem;2008;[-]";"ogółem;2009;[-]";"ogółem;2010;[-]";"ogółem;2011;[-]";"ogółem;2012;[-]";"ogółem;2013;[-]";"ogółem;2014;[-]";"ogółem;2015;[-]";"ogółem;2016;[-]";"ogółem;2017;[-]";"ogółem;2018;[-]";
1400000;"MAZOWIECKIE";33975;33328;30488;27506;26929;24144;24924;25808;26696;27142;27220;
1401000;"Powiat białobrzeski";255;247;251;206;211;202;170;177;209;199;188;
1401013;"Białobrzegi (3)";81;81;83;59;69;60;47;39;51;48;49;
1401014;"Białobrzegi - miasto (4)";63;62;59;48;49;46;33;30;35;29;32;
1401015;"Białobrzegi - obszar wiejski (5)";18;19;24;11;20;14;14;9;16;19;17;
1401022;"Promna (2)";47;37;38;38;41;44;34;39;46;35;33;
1401032;"Radzanów (2)";26;28;32;23;20;20;23;20;25;25;14;
1401042;"Stara Błotnica (2)";37;42;40;38;33;35;24;30;34;29;36;
1401052;"Stromiec (2)";40;38;38;35;28;25;25;24;34;46;38;
1401063;"Wyśmierzyce (3)";24;21;20;13;20;18;17;25;19;16;18;
1401064;"Wyśmierzyce - miasto (4)";11;4;9;3;8;8;4;11;4;6;4;
1401065;"Wyśmierzyce - obszar wiejski (5)";13;17;11;10;12;10;13;14;15;10;14;
1402000;"Powiat ciechanowski";679;639;604;577;488;451;458;458;514;471;474;
1402011;"Ciechanów (1)";321;312;283;297;215;224;218;221;214;233;232;
1402022;"Ciechanów (2)";45;40;38;45;29;35;28;29;40;30;34;
1402033;"Glinojeck (3)";66;63;61;51;40;30;39;33;37;45;44;
1402034;"Glinojeck - miasto (4)";31;31;26;26;15;14;15;11;17;23;18;
1402035;"Glinojeck - obszar wiejski (5)";35;32;35;25;25;16;24;22;20;22;26;
1402042;"Gołymin-Ośrodek (2)";37;32;32;28;29;29;24;26;17;20;19;
1402052;"Grudusk (2)";33;29;33;23;23;19;21;22;22;17;17;
1402062;"Ojrzeń (2)";37;30;34;21;26;22;23;24;78;29;25;
1402072;"Opinogóra Górna (2)";46;44;39;33;32;28;45;28;43;27;29;
1402082;"Regimin (2)";43;39;29;24;36;25;23;27;24;25;28;
1402092;"Sońsk (2)";51;50;55;55;58;39;37;48;39;45;46;
1403000;"Powiat garwoliński";754;774;753;686;714;658;633;624;641;656;621;
1403011;"Garwolin (1)";108;124;115;96;98;98;95;82;108;96;89;
1403021;"Łaskarzew (1)";31;42;37;29;39;34;25;33;18;29;27;
1403032;"Borowie (2)";40;36;34;28;34;27;24;26;24;27;34;
1403042;"Garwolin (2)";84;85;80;78;74;75;76;57;70;66;54;
1403052;"Górzno (2)";41;48;47;46;35;48;39;45;55;50;34;
1403062;"Łaskarzew (2)";35;38;36;43;33;45;38;53;33;52;35;
1403072;"Maciejowice (2)";45;53;61;53;43;44;42;38;42;35;43;
1403082;"Miastków Kościelny (2)";40;26;35;36;38;36;29;30;31;30;31;
1403092;"Parysów (2)";33;33;17;28;25;20;22;40;27;20;25;
1403103;"Pilawa (3)";79;61;80;71;78;59;67;58;40;60;69;
1403104;"Pilawa - miasto (4)";31;28;35;20;22;15;35;25;15;20;31;
1403105;"Pilawa - obszar wiejski (5)";48;33;45;51;56;44;32;33;25;40;38;
1403112;"Sobolew (2)";65;71;63;44;61;54;47;45;50;44;41;
1403122;"Trojanów (2)";50;62;52;44;58;39;44;38;48;42;43;
1403132;"Wilga (2)";28;33;32;28;34;26;29;29;36;31;33;
1403143;"Żelechów (3)";75;62;64;62;64;53;56;50;59;74;63;
1403144;"Żelechów - miasto (4)";33;34;31;30;23;27;29;22;26;40;31;
1403145;"Żelechów - obszar wiejski (5)";42;28;33;32;41;26;27;28;33;34;32;
1404000;"Powiat gostyniński";341;318;265;281;232;203;211;214;229;209;211;
1404011;"Gostynin (1)";140;128;108;105;90;73;97;76;82;87;78;
1404022;"Gostynin (2)";80;73;61;75;67;58;46;60;58;47;68;
1404032;"Pacyna (2)";28;32;27;20;21;12;23;21;11;16;21;
1404042;"Sanniki (2)";47;41;31;43;29;43;28;32;40;30;;
1404043;"Sanniki (3)";;;;;;;;;;;27;
1404044;"Sanniki - miasto (4)";;;;;;;;;;;10;
1404045;"Sanniki - obszar wiejski (5)";;;;;;;;;;;17;
1404052;"Szczawin Kościelny (2)";46;44;38;38;25;17;17;25;38;29;17;
1405000;"Powiat grodziski";535;484;460;402;388;371;411;426;434;437;416;
1405011;"Milanówek (1)";99;85;87;83;76;63;77;78;76;67;70;
