"Kod";"Nazwa";"ogółem;2008;[-]";"ogółem;2009;[-]";"ogółem;2010;[-]";"ogółem;2011;[-]";"ogółem;2012;[-]";"ogółem;2013;[-]";"ogółem;2014;[-]";"ogółem;2015;[-]";"ogółem;2016;[-]";"ogółem;2017;[-]";"ogółem;2018;[-]";
1400000;"MAZOWIECKIE";6,5;6,4;5,8;5,2;5,1;4,5;4,7;4,8;5,0;5,1;5,0;
1401000;"Powiat białobrzeski";7,6;7,3;7,4;6,1;6,2;6,0;5,0;5,3;6,2;5,9;5,6;
1401013;"Białobrzegi (3)";7,8;7,8;7,9;5,7;6,6;5,8;4,5;3,8;4,9;4,6;4,7;
1401014;"Białobrzegi - miasto (4)";8,6;8,5;8,1;6,6;6,8;6,4;4,6;4,2;5,0;4,1;4,6;
1401015;"Białobrzegi - obszar wiejski (5)";5,9;6,1;7,6;3,5;6,2;4,3;4,3;2,7;4,8;5,7;5,1;
1401022;"Promna (2)";8,3;6,5;6,6;6,7;7,3;7,8;6,1;7,0;8,3;6,3;5,9;
1401032;"Radzanów (2)";6,6;7,1;8,1;5,8;5,1;5,1;5,9;5,2;6,4;6,4;3,6;
1401042;"Stara Błotnica (2)";7,0;7,9;7,7;7,3;6,3;6,8;4,6;5,8;6,5;5,5;6,8;
1401052;"Stromiec (2)";7,1;6,7;6,6;6,1;4,8;4,4;4,4;4,2;6,0;8,2;6,7;
1401063;"Wyśmierzyce (3)";8,4;7,3;7,1;4,6;7,0;6,3;6,0;8,8;6,7;5,7;6,5;
1401064;"Wyśmierzyce - miasto (4)";12,7;4,6;9,9;3,3;8,8;8,8;4,4;12,0;4,3;6,6;4,5;
1401065;"Wyśmierzyce - obszar wiejski (5)";6,5;8,5;5,7;5,1;6,2;5,2;6,7;7,3;7,9;5,3;7,5;
1402000;"Powiat ciechanowski";7,5;7,0;6,6;6,3;5,3;5,0;5,0;5,1;5,7;5,2;5,3;
1402011;"Ciechanów (1)";7,1;6,9;6,2;6,5;4,8;5,0;4,9;5,0;4,8;5,3;5,2;
1402022;"Ciechanów (2)";7,3;6,4;5,8;6,8;4,3;5,1;4,0;4,2;5,8;4,3;4,8;
1402033;"Glinojeck (3)";8,3;7,9;7,4;6,2;4,9;3,7;4,8;4,1;4,6;5,6;5,6;
1402034;"Glinojeck - miasto (4)";9,9;9,9;8,2;8,2;4,7;4,5;4,8;3,6;5,5;7,5;6,0;
1402035;"Glinojeck - obszar wiejski (5)";7,2;6,6;7,0;5,0;5,0;3,2;4,8;4,4;4,0;4,4;5,3;
1402042;"Gołymin-Ośrodek (2)";9,2;8,0;7,9;7,0;7,3;7,3;6,1;6,6;4,3;5,2;4,9;
1402052;"Grudusk (2)";8,5;7,6;8,4;5,9;5,9;4,9;5,5;5,8;5,9;4,6;4,7;
1402062;"Ojrzeń (2)";8,4;6,9;7,8;4,8;5,9;5,0;5,3;5,5;18,0;6,7;5,8;
1402072;"Opinogóra Górna (2)";7,6;7,3;6,6;5,5;5,4;4,7;7,5;4,7;7,2;4,5;4,8;
1402082;"Regimin (2)";8,6;7,9;5,7;4,7;7,1;4,9;4,5;5,3;4,8;5,0;5,6;
1402092;"Sońsk (2)";6,5;6,4;6,9;6,9;7,3;4,9;4,7;6,1;5,0;5,7;5,9;
1403000;"Powiat garwoliński";7,1;7,2;6,9;6,3;6,6;6,1;5,8;5,7;5,9;6,0;5,7;
1403011;"Garwolin (1)";6,6;7,6;6,8;5,6;5,7;5,7;5,5;4,8;6,2;5,5;5,1;
1403021;"Łaskarzew (1)";6,3;8,5;7,4;5,9;7,9;6,9;5,1;6,7;3,7;5,9;5,5;
1403032;"Borowie (2)";7,8;7,0;6,5;5,3;6,5;5,2;4,6;5,0;4,6;5,2;6,5;
1403042;"Garwolin (2)";7,0;7,0;6,4;6,2;5,8;5,9;5,9;4,4;5,4;5,0;4,1;
1403052;"Górzno (2)";6,7;7,8;7,4;7,3;5,5;7,6;6,2;7,1;8,5;7,7;5,2;
1403062;"Łaskarzew (2)";6,3;6,8;6,6;7,9;6,0;8,2;6,9;9,6;6,0;9,5;6,4;
