"Kod";"Nazwa";"ogółem;ogółem;2015;[zł]";"ogółem;ogółem;2016;[zł]";"ogółem;ogółem;2017;[zł]";"ogółem;ogółem;2018;[zł]";"ogółem;do 40 m2;2015;[zł]";"ogółem;do 40 m2;2016;[zł]";"ogółem;do 40 m2;2017;[zł]";"ogółem;do 40 m2;2018;[zł]";"ogółem;od 40,1 do 60 m2;2015;[zł]";"ogółem;od 40,1 do 60 m2;2016;[zł]";"ogółem;od 40,1 do 60 m2;2017;[zł]";"ogółem;od 40,1 do 60 m2;2018;[zł]";"ogółem;od 60,1 do 80 m2;2015;[zł]";"ogółem;od 60,1 do 80 m2;2016;[zł]";"ogółem;od 60,1 do 80 m2;2017;[zł]";"ogółem;od 60,1 do 80 m2;2018;[zł]";"ogółem;od 80,1 m2;2015;[zł]";"ogółem;od 80,1 m2;2016;[zł]";"ogółem;od 80,1 m2;2017;[zł]";"ogółem;od 80,1 m2;2018;[zł]";"rynek pierwotny;ogółem;2015;[zł]";"rynek pierwotny;ogółem;2016;[zł]";"rynek pierwotny;ogółem;2017;[zł]";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;do 40 m2;2015;[zł]";"rynek pierwotny;do 40 m2;2016;[zł]";"rynek pierwotny;do 40 m2;2017;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2015;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2016;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2017;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2015;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2016;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2017;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2015;[zł]";"rynek pierwotny;od 80,1 m2;2016;[zł]";"rynek pierwotny;od 80,1 m2;2017;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek wtórny;ogółem;2015;[zł]";"rynek wtórny;ogółem;2016;[zł]";"rynek wtórny;ogółem;2017;[zł]";"rynek wtórny;ogółem;2018;[zł]";"rynek wtórny;do 40 m2;2015;[zł]";"rynek wtórny;do 40 m2;2016;[zł]";"rynek wtórny;do 40 m2;2017;[zł]";"rynek wtórny;do 40 m2;2018;[zł]";"rynek wtórny;od 40,1 do 60 m2;2015;[zł]";"rynek wtórny;od 40,1 do 60 m2;2016;[zł]";"rynek wtórny;od 40,1 do 60 m2;2017;[zł]";"rynek wtórny;od 40,1 do 60 m2;2018;[zł]";"rynek wtórny;od 60,1 do 80 m2;2015;[zł]";"rynek wtórny;od 60,1 do 80 m2;2016;[zł]";"rynek wtórny;od 60,1 do 80 m2;2017;[zł]";"rynek wtórny;od 60,1 do 80 m2;2018;[zł]";"rynek wtórny;od 80,1 m2;2015;[zł]";"rynek wtórny;od 80,1 m2;2016;[zł]";"rynek wtórny;od 80,1 m2;2017;[zł]";"rynek wtórny;od 80,1 m2;2018;[zł]";
1401000;"Powiat białobrzeski";3001;2900;3054;;0;3562;3494;;2850;2474;2985;;0;2619;2878;;0;0;0;;0;0;3007;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;3001;2900;3100;;0;3562;3494;;2850;2474;2985;;0;2619;2706;;0;0;0;;
1402000;"Powiat ciechanowski";2998;3102;3034;;2965;3403;2995;;3001;3098;3042;;3042;3131;3039;;2540;2057;1467;;4058;3653;3156;;0;3668;3100;;0;3577;3101;;4092;3645;3225;;3231;0;0;;2995;2709;2477;;2937;2867;2500;;3000;2676;2543;;2899;2759;2273;;2162;1901;1467;;
1403000;"Powiat garwoliński";1305;2619;2617;;0;3208;3722;;1809;2273;1667;;0;1761;3288;;0;0;0;;0;4089;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;1305;2553;2617;;0;3208;3722;;1809;2222;1667;;0;902;3288;;0;0;0;;
1404000;"Powiat gostyniński";2448;2239;2879;;2086;2219;2222;;2831;2301;3034;;2025;1959;2746;;0;0;0;;2913;2901;3044;;0;0;0;;2913;2919;3047;;0;0;3034;;0;0;0;;2176;2199;2186;;2086;2085;2210;;2485;2222;2362;;1940;1959;1794;;0;0;0;;
1405000;"Powiat grodziski";4083;3959;4333;;4376;4054;4622;;4189;4417;4479;;4333;4642;4656;;3512;3306;3689;;4021;3744;4375;;0;3763;4761;;0;3860;4445;;4963;0;5139;;3577;3320;3661;;4083;4068;4267;;4388;4324;4618;;4125;4739;4567;;3672;4693;4399;;3415;3257;3786;;
1406000;"Powiat grójecki";2289;3382;3261;;2039;3383;3026;;1931;3589;3261;;2571;3609;3338;;0;2689;2550;;0;3480;3347;;0;3472;3331;;0;3639;3469;;0;3609;3347;;0;0;2942;;2289;3214;2996;;2039;3351;2663;;1931;3538;3159;;2571;3694;3183;;0;2689;0;;
1407000;"Powiat kozienicki";3058;2998;2996;;3034;2864;3008;;3060;3026;3056;;3229;2788;2666;;0;0;0;;3499;3367;0;;3401;3391;0;;3536;0;0;;0;0;0;;0;0;0;;2935;2920;2996;;2867;2454;3008;;2977;3026;3056;;2869;2788;2666;;0;0;0;;
1408000;"Powiat legionowski";4135;4472;4575;;4390;4559;4676;;4173;4393;4609;;4095;4516;4600;;2899;3946;3804;;4052;4398;4347;;4100;4472;4464;;3974;4322;4387;;4075;4653;4185;;4252;3946;3744;;4416;4591;4866;;5076;5049;5185;;4492;4487;4886;;4095;4482;4866;;2818;3059;4090;;
1409000;"Powiat lipski";0;0;2222;;0;0;2222;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;2222;;0;0;2222;;0;0;0;;0;0;0;;0;0;0;;
1410000;"Powiat łosicki";2883;2854;1986;;2825;2833;0;;2892;2860;1986;;3098;2854;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;2881;2854;1986;;2825;2833;0;;2885;2860;1986;;3098;2854;0;;0;0;0;;
