"Kod";"Nazwa";"rynek pierwotny;ogółem;2015;[zł]";"rynek pierwotny;ogółem;2016;[zł]";"rynek pierwotny;ogółem;2017;[zł]";"rynek pierwotny;ogółem;2018;[zł]";
0201000;"Powiat bolesławiecki";2911;3480;3439;;
0202000;"Powiat dzierżoniowski";3428;3288;0;;
0203000;"Powiat głogowski";3354;3776;3842;;
0204000;"Powiat górowski";0;0;3090;;
0205000;"Powiat jaworski";0;0;2458;;
0206000;"Powiat jeleniogórski";6397;7770;7008;;
0207000;"Powiat kamiennogórski";0;0;0;;
0208000;"Powiat kłodzki";8883;4242;11782;;
0209000;"Powiat legnicki";2620;0;0;;
0210000;"Powiat lubański";3644;2968;4617;;
0211000;"Powiat lubiński";3769;4133;4190;;
0212000;"Powiat lwówecki";0;0;3228;;
0213000;"Powiat milicki";3451;3403;3421;;
0214000;"Powiat oleśnicki";4158;4043;4257;;
0215000;"Powiat oławski";3292;3476;3898;;
0216000;"Powiat polkowicki";3653;2342;4384;;
0217000;"Powiat strzeliński";4130;4083;4170;;
0218000;"Powiat średzki";3945;4041;4225;;
0219000;"Powiat świdnicki";3265;3702;3440;;
0220000;"Powiat trzebnicki";4040;3925;4015;;
0221000;"Powiat wałbrzyski";3852;3106;3430;;
0222000;"Powiat wołowski";3417;3472;3494;;
0223000;"Powiat wrocławski";4248;4203;4356;;
0224000;"Powiat ząbkowicki";0;0;0;;
0225000;"Powiat zgorzelecki";0;0;3699;;
0226000;"Powiat złotoryjski";0;3006;0;;
0261000;"Powiat m.Jelenia Góra";3341;3751;3783;;
0262000;"Powiat m.Legnica";3318;3500;3534;;
0264000;"Powiat m.Wrocław";5502;5735;5914;;
0265000;"Powiat m.Wałbrzych od 2013";3273;2599;2696;;
0401000;"Powiat aleksandrowski";4262;3494;3405;;
0402000;"Powiat brodnicki";3048;3099;3360;;
0403000;"Powiat bydgoski";4000;3849;4689;;
0404000;"Powiat chełmiński";0;3388;3390;;
0405000;"Powiat golubsko-dobrzyński";2975;0;3399;;
0406000;"Powiat grudziądzki";0;0;0;;
0407000;"Powiat inowrocławski";3796;4089;4085;;
0408000;"Powiat lipnowski";0;0;0;;
0409000;"Powiat mogileński";2364;0;2956;;
0410000;"Powiat nakielski";3238;0;3499;;
0411000;"Powiat radziejowski";0;0;2434;;
0412000;"Powiat rypiński";0;0;0;;
0413000;"Powiat sępoleński";0;3272;0;;
0414000;"Powiat świecki";3302;3831;3465;;
0415000;"Powiat toruński";3143;3351;2979;;
0416000;"Powiat tucholski";0;0;0;;
0417000;"Powiat wąbrzeski";0;0;0;;
0418000;"Powiat włocławski";2649;2751;2754;;
0419000;"Powiat żniński";3506;3598;4055;;
0461000;"Powiat m.Bydgoszcz";4416;4726;4731;;
0462000;"Powiat m.Grudziądz";3280;3000;3132;;
0463000;"Powiat m.Toruń";5000;4017;4777;;
0464000;"Powiat m.Włocławek";2700;3020;3200;;
0601000;"Powiat bialski";0;0;0;;
0602000;"Powiat biłgorajski";0;2700;3365;;
0603000;"Powiat chełmski";0;0;0;;
0604000;"Powiat hrubieszowski";2438;2727;0;;
0605000;"Powiat janowski";0;0;0;;
0606000;"Powiat krasnostawski";3139;0;0;;
0607000;"Powiat kraśnicki";2959;0;0;;
0608000;"Powiat lubartowski";0;0;0;;
0609000;"Powiat lubelski";3728;3882;4363;;
0610000;"Powiat łęczyński";0;4416;4446;;
0611000;"Powiat łukowski";0;0;0;;
0612000;"Powiat opolski";3150;2849;0;;
0613000;"Powiat parczewski";2888;0;0;;
0614000;"Powiat puławski";4557;4391;4430;;
0615000;"Powiat radzyński";2407;2702;0;;
0616000;"Powiat rycki";0;0;3988;;
0617000;"Powiat świdnicki";0;0;0;;
0618000;"Powiat tomaszowski";3888;3386;3150;;
0619000;"Powiat włodawski";2992;3059;2953;;
0620000;"Powiat zamojski";0;3812;3822;;
0661000;"Powiat m.Biała Podlaska";0;3076;3150;;
0662000;"Powiat m.Chełm";3430;3669;3578;;
0663000;"Powiat m.Lublin";4878;5100;5247;;
0664000;"Powiat m.Zamość";3208;3713;3250;;
0801000;"Powiat gorzowski";2128;3452;3334;;
0802000;"Powiat krośnieński";0;0;2324;;
0803000;"Powiat międzyrzecki";0;2951;3279;;
0804000;"Powiat nowosolski";3282;0;3376;;
0805000;"Powiat słubicki";3304;3284;3580;;
0806000;"Powiat strzelecko-drezdenecki";2991;3085;3139;;
0807000;"Powiat sulęciński";2914;0;3029;;
0808000;"Powiat świebodziński";3261;3161;3095;;
0809000;"Powiat zielonogórski";0;2997;2988;;
0810000;"Powiat żagański";2051;2496;2698;;
0811000;"Powiat żarski";3476;3284;3321;;
