"Kod";"Nazwa";"o nawierzchni twardej;2008;[km]";"o nawierzchni twardej;2009;[km]";"o nawierzchni twardej;2010;[km]";"o nawierzchni twardej;2011;[km]";"o nawierzchni twardej;2012;[km]";"o nawierzchni twardej;2013;[km]";"o nawierzchni twardej;2014;[km]";"o nawierzchni twardej;2015;[km]";"o nawierzchni twardej;2016;[km]";"o nawierzchni twardej;2017;[km]";
0201000;"Powiat bolesławiecki";297,7;297,7;298,5;298,5;298,5;298,5;298,5;298,5;298,5;314,1;
0202000;"Powiat dzierżoniowski";213,0;200,0;200,0;200,2;200,2;200,2;200,2;200,2;200,5;200,2;
0203000;"Powiat głogowski";124,3;124,3;124,3;124,3;124,3;102,0;121,6;119,6;119,6;119,6;
0204000;"Powiat górowski";286,0;282,2;282,2;282,2;282,2;267,1;282,2;282,2;282,2;266,6;
0205000;"Powiat jaworski";306,0;305,0;305,0;305,0;304,0;304,0;304,0;304,0;300,4;300,4;
0206000;"Powiat jeleniogórski";264,5;264,5;264,5;264,5;257,3;257,3;257,3;240,9;240,9;240,9;
0207000;"Powiat kamiennogórski";198,1;198,1;198,1;198,1;198,1;198,1;198,1;198,1;202,6;202,6;
0208000;"Powiat kłodzki";696,9;696,3;696,3;696,3;696,3;696,3;696,3;696,3;696,3;696,3;
0209000;"Powiat legnicki";328,8;328,8;328,8;328,8;328,8;328,8;324,5;324,5;328,2;325,9;
0210000;"Powiat lubański";176,0;176,0;176,0;176,0;176,0;176,0;176,0;176,0;176,0;176,0;
0211000;"Powiat lubiński";224,7;224,5;232,3;232,3;232,3;232,3;232,3;229,6;229,6;226,9;
0212000;"Powiat lwówecki";317,3;317,3;317,6;318,1;319,7;319,0;319,0;319,0;319,0;321,0;
0213000;"Powiat milicki";289,8;289,8;289,8;289,8;290,5;290,6;293,0;293,3;288,2;289,0;
0214000;"Powiat oleśnicki";454,4;454,4;454,4;450,7;450,7;453,4;453,4;460,5;460,4;461,1;
0215000;"Powiat oławski";240,1;240,1;240,1;240,1;240,1;240,1;240,1;240,1;240,1;240,5;
0216000;"Powiat polkowicki";243,8;243,8;248,8;251,1;251,1;248,5;248,5;255,9;243,0;243,2;
0217000;"Powiat strzeliński";376,9;376,9;376,9;377,2;377,2;377,2;377,2;377,2;377,2;377,2;
0218000;"Powiat średzki";315,7;325,3;308,7;308,7;308,7;308,7;308,7;308,7;308,7;308,7;
0219000;"Powiat świdnicki";396,1;390,1;386,8;387,6;387,6;382,4;382,4;382,4;379,8;376,6;
0220000;"Powiat trzebnicki";394,9;394,9;394,9;394,9;394,9;395,2;396,7;397,1;390,6;390,2;
0221000;"Powiat wałbrzyski";220,1;209,5;209,5;204,6;203,9;174,9;181,5;190,9;190,9;188,6;
0222000;"Powiat wołowski";213,4;213,4;213,4;213,4;213,4;213,4;213,4;213,4;214,3;215,2;
0223000;"Powiat wrocławski";620,9;620,9;563,4;564,0;563,9;563,9;563,9;563,8;574,4;574,4;
0224000;"Powiat ząbkowicki";383,0;383,0;381,0;381,0;355,0;381,0;381,0;384,6;384,6;383,6;
0225000;"Powiat zgorzelecki";219,3;219,3;219,5;219,5;219,5;219,5;219,5;219,5;217,2;217,2;
0226000;"Powiat złotoryjski";220,8;220,8;220,8;220,8;220,8;220,8;220,8;220,8;220,8;218,3;
0261000;"Powiat m.Jelenia Góra";70,8;70,8;71,7;71,7;69,8;69,8;69,8;78,7;78,7;78,7;
0262000;"Powiat m.Legnica";61,2;61,2;64,6;63,1;63,0;63,0;55,1;55,2;55,2;54,7;
0264000;"Powiat m.Wrocław";258,5;258,5;258,6;258,5;256,3;46,1;46,1;46,2;46,2;46,2;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;29,4;29,4;29,4;29,4;29,4;
0401000;"Powiat aleksandrowski";215,9;215,9;216,8;216,8;202,7;202,7;202,8;202,8;197,0;196,9;
0402000;"Powiat brodnicki";357,8;357,8;357,8;357,8;357,8;357,8;357,8;357,8;357,8;358,0;
0403000;"Powiat bydgoski";324,3;328,0;332,8;334,1;334,1;342,0;346,7;349,9;351,1;351,1;
0404000;"Powiat chełmiński";224,3;224,3;224,3;229,0;230,0;230,4;231,7;231,7;227,2;227,2;
0405000;"Powiat golubsko-dobrzyński";237,7;237,7;239,3;254,1;235,8;235,8;235,8;235,8;235,8;235,8;
0406000;"Powiat grudziądzki";377,5;377,5;377,5;378,5;379,3;379,3;379,3;384,8;385,2;385,1;
0407000;"Powiat inowrocławski";526,7;526,7;526,7;525,9;525,9;523,7;525,3;525,3;525,3;525,3;
0408000;"Powiat lipnowski";329,1;332,8;335,2;334,9;330,6;330,9;324,5;324,7;324,7;324,7;
0409000;"Powiat mogileński";370,0;370,0;372,0;373,0;374,0;374,0;375,0;375,0;375,0;379,2;
0410000;"Powiat nakielski";343,7;344,1;344,5;344,5;344,2;344,5;344,5;344,8;344,8;344,8;
0411000;"Powiat radziejowski";288,4;288,4;288,4;285,3;285,3;285,3;285,3;285,3;285,2;283,9;
0412000;"Powiat rypiński";202,7;202,7;202,7;203,1;203,1;203,1;203,1;203,1;203,1;203,1;
0413000;"Powiat sępoleński";266,6;267,1;267,7;267,7;265,4;266,0;266,2;266,4;268,2;267,0;
0414000;"Powiat świecki";523,4;524,1;524,2;524,2;524,2;523,3;523,3;523,3;520,3;519,5;
0415000;"Powiat toruński";294,9;293,9;294,7;294,7;296,1;296,3;297,7;297,7;297,7;300,5;
0416000;"Powiat tucholski";375,8;379,5;379,5;400,3;400,3;400,3;400,3;400,3;400,2;400,3;
0417000;"Powiat wąbrzeski";196,2;196,2;196,2;196,9;189,1;189,1;189,1;189,1;189,1;189,1;
0418000;"Powiat włocławski";384,0;384,0;384,0;390,4;390,3;388,4;389,4;390,2;390,2;390,2;
0419000;"Powiat żniński";481,0;482,6;480,2;480,1;480,1;475,8;475,8;475,8;476,4;476,4;
0461000;"Powiat m.Bydgoszcz";115,3;115,3;127,2;146,4;141,0;141,0;142,0;144,6;142,6;130,0;
0462000;"Powiat m.Grudziądz";48,0;48,0;49,0;49,0;49,0;49,0;59,4;59,8;59,8;49,2;
0463000;"Powiat m.Toruń";74,5;77,4;77,4;77,4;77,4;76,8;141,0;78,6;80,0;78,0;
0464000;"Powiat m.Włocławek";50,0;50,0;50,0;50,7;51,1;51,1;51,4;52,7;52,7;54,5;
0601000;"Powiat bialski";885,1;887,9;895,2;892,6;890,4;887,1;887,3;888,2;888,1;890,4;
0602000;"Powiat biłgorajski";523,5;523,7;522,9;1400,6;526,2;526,2;526,9;526,9;526,9;526,4;
0603000;"Powiat chełmski";622,0;616,9;616,9;617,8;618,8;625,5;628,9;631,3;632,3;632,3;
0604000;"Powiat hrubieszowski";524,2;525,4;525,4;525,4;525,4;525,8;525,8;525,7;526,5;526,5;
0605000;"Powiat janowski";280,0;280,0;280,0;282,0;282,5;283,0;283,0;282,5;282,0;282,0;
0606000;"Powiat krasnostawski";401,9;405,1;403,4;403,2;403,8;403,8;403,8;403,8;403,8;403,8;
0607000;"Powiat kraśnicki";360,6;360,6;360,6;361,6;362,8;363,6;368,5;373,1;373,5;374,1;
0608000;"Powiat lubartowski";430,8;428,8;428,6;445,4;448,7;443,5;442,9;466,2;436,7;440,3;
0609000;"Powiat lubelski";677,6;672,1;672,1;674,5;676,5;683,2;686,4;689,1;702,4;695,6;
0610000;"Powiat łęczyński";227,5;227,5;227,6;227,3;227,6;227,6;227,6;227,0;227,0;225,2;
0611000;"Powiat łukowski";530,3;534,9;533,4;536,0;538,1;513,8;513,8;514,9;512,9;515,4;
0612000;"Powiat opolski";355,6;356,7;356,9;356,9;356,9;356,9;359,7;361,4;361,5;360,8;
0613000;"Powiat parczewski";304,9;305,0;305,0;305,0;305,0;301,3;301,3;299,7;299,7;299,7;
0614000;"Powiat puławski";341,4;340,2;341,2;338,5;337,9;337,9;337,8;336,4;342,2;340,5;
0615000;"Powiat radzyński";405,7;449,9;449,9;449,9;387,4;388,7;390,0;390,0;390,0;391,4;
0616000;"Powiat rycki";300,7;300,7;300,7;300,7;300,7;300,7;300,7;300,7;300,7;300,7;
0617000;"Powiat świdnicki";172,5;173,0;173,3;173,3;173,3;176,3;176,3;174,0;174,9;174,9;
0618000;"Powiat tomaszowski";623,5;627,3;628,4;629,1;629,9;629,9;632,3;632,4;636,6;637,6;
0619000;"Powiat włodawski";277,4;280,4;280,9;281,2;281,9;282,4;282,4;283,0;283,6;283,6;
0620000;"Powiat zamojski";683,2;683,8;685,1;685,7;686,2;686,4;687,4;687,7;688,0;688,2;
0661000;"Powiat m.Biała Podlaska";47,1;47,8;47,8;48,6;48,7;48,7;48,7;48,7;48,5;48,5;
0662000;"Powiat m.Chełm";48,9;49,1;49,0;49,0;49,0;49,0;49,0;48,5;51,3;51,3;
0663000;"Powiat m.Lublin";114,0;114,0;128,6;129,3;131,8;131,2;129,8;131,5;143,6;148,4;
0664000;"Powiat m.Zamość";48,2;48,2;49,0;49,0;49,0;49,0;49,2;49,2;49,3;49,2;
0801000;"Powiat gorzowski";355,2;355,8;355,8;351,8;353,8;353,8;354,6;354,6;355,5;355,3;
0802000;"Powiat krośnieński";330,5;330,5;330,5;330,0;330,0;327,3;329,1;329,6;329,8;329,8;
0803000;"Powiat międzyrzecki";315,0;316,0;316,0;316,0;314,0;314,0;314,0;314,0;314,0;314,0;
0804000;"Powiat nowosolski";218,2;219,3;219,3;216,4;220,1;220,1;222,2;219,1;220,4;221,6;
0805000;"Powiat słubicki";195,5;196,5;198,1;198,1;198,1;198,1;198,1;198,1;198,1;198,1;
0806000;"Powiat strzelecko-drezdenecki";184,7;184,7;184,8;183,6;183,6;183,6;183,6;186,0;185,4;189,4;
0807000;"Powiat sulęciński";253,3;253,3;253,9;253,9;253,9;245,7;246,5;246,5;246,5;246,5;
0808000;"Powiat świebodziński";331,2;332,2;333,0;332,8;332,8;332,8;332,8;333,1;333,1;333,1;
0809000;"Powiat zielonogórski";311,5;311,6;311,6;317,6;324,6;324,1;324,1;271,7;272,0;272,5;
0810000;"Powiat żagański";320,0;320,0;320,1;320,3;320,1;317,7;317,7;317,7;317,7;318,2;
0811000;"Powiat żarski";415,4;415,8;415,9;415,8;415,8;414,4;413,5;415,0;415,0;415,0;
0812000;"Powiat wschowski";146,1;146,1;146,3;146,3;146,3;146,3;146,2;146,3;147,1;147,1;
0861000;"Powiat m.Gorzów Wielkopolski";60,8;60,8;62,8;62,8;62,7;62,8;67,7;67,7;67,7;67,7;
0862000;"Powiat m.Zielona Góra";45,1;45,1;45,1;45,1;49,0;49,0;49,0;51,0;51,0;51,0;
1001000;"Powiat bełchatowski";337,5;333,9;333,9;333,7;335,0;335,1;335,1;341,2;341,2;341,2;
1002000;"Powiat kutnowski";513,0;515,3;513,9;1386,2;464,1;464,1;484,8;484,8;476,6;476,0;
1003000;"Powiat łaski";198,8;199,8;200,9;200,9;202,5;202,5;203,5;203,5;204,0;204,0;
1004000;"Powiat łęczycki";373,8;377,0;377,1;377,1;373,2;373,2;373,2;373,2;373,2;375,3;
1005000;"Powiat łowicki";523,0;525,3;526,4;526,4;526,8;526,8;526,8;527,4;527,4;538,2;
1006000;"Powiat łódzki wschodni";213,2;211,8;205,7;209,7;213,6;210,6;211,4;211,8;214,8;216,3;
1007000;"Powiat opoczyński";306,6;307,3;305,6;306,5;307,3;308,3;308,3;309,7;319,2;319,2;
1008000;"Powiat pabianicki";149,8;151,1;151,3;151,3;174,8;174,8;179,6;180,2;190,0;190,0;
1009000;"Powiat pajęczański";271,1;272,6;273,2;276,4;276,4;265,9;265,9;266,9;267,0;267,3;
1010000;"Powiat piotrkowski";542,0;528,3;528,3;523,0;521,6;522,3;525,4;517,1;516,1;503,2;
1011000;"Powiat poddębicki";305,3;305,9;306,4;310,8;308,6;308,7;308,7;308,7;307,8;316,3;
1012000;"Powiat radomszczański";404,5;404,5;404,5;404,5;404,5;404,5;404,5;397,4;397,4;397,4;
1013000;"Powiat rawski";285,2;296,6;293,6;305,4;295,6;297,5;297,5;298,5;299,7;291,4;
1014000;"Powiat sieradzki";614,4;614,4;614,4;614,4;608,8;610,7;610,7;608,7;628,6;603,7;
1015000;"Powiat skierniewicki";255,3;256,8;257,8;257,8;257,8;257,6;257,6;257,6;257,6;257,6;
1016000;"Powiat tomaszowski";366,2;366,2;367,7;368,5;368,5;368,5;368,5;368,5;369,5;369,5;
1017000;"Powiat wieluński";338,4;336,9;339,2;345,5;345,5;345,5;345,5;345,5;345,6;345,5;
1018000;"Powiat wieruszowski";263,9;263,9;264,4;264,4;264,4;264,4;263,2;253,9;256,0;256,0;
1019000;"Powiat zduńskowolski";184,8;184,8;184,8;184,8;181,4;182,2;182,3;180,5;182,9;183,6;
1020000;"Powiat zgierski";405,4;405,6;408,4;364,3;411,9;411,6;410,5;415,1;412,4;411,6;
1021000;"Powiat brzeziński";130,5;130,5;130,5;130,5;130,5;130,5;131,0;132,4;131,9;131,9;
1061000;"Powiat m.Łódź";389,1;391,7;391,7;391,7;392,8;392,8;393,1;393,1;393,1;393,5;
1062000;"Powiat m.Piotrków Trybunalski";34,0;33,9;33,9;33,9;33,8;33,8;33,9;33,4;38,6;38,7;
1063000;"Powiat m.Skierniewice";36,8;32,8;34,3;34,3;34,3;34,8;34,8;37,2;35,9;36,4;
1201000;"Powiat bocheński";297,6;301,2;300,8;294,7;298,6;298,6;298,6;297,5;297,5;297,5;
1202000;"Powiat brzeski";255,7;256,2;256,2;256,2;256,2;256,2;256,2;264,2;263,7;263,7;
1203000;"Powiat chrzanowski";230,4;230,3;230,3;230,3;230,3;230,3;230,3;230,3;232,8;232,8;
1204000;"Powiat dąbrowski";263,9;265,3;265,5;268,3;268,3;275,3;275,3;275,3;275,3;275,3;
1205000;"Powiat gorlicki";306,8;307,5;307,6;307,6;310,1;310,1;310,9;315,2;315,7;315,8;
