"Kod";"Nazwa";"sektor prywatny - spółki handlowe;2008;[-]";"sektor prywatny - spółki handlowe;2009;[-]";"sektor prywatny - spółki handlowe;2010;[-]";"sektor prywatny - spółki handlowe;2011;[-]";"sektor prywatny - spółki handlowe;2012;[-]";"sektor prywatny - spółki handlowe;2013;[-]";"sektor prywatny - spółki handlowe;2014;[-]";"sektor prywatny - spółki handlowe;2015;[-]";"sektor prywatny - spółki handlowe;2016;[-]";"sektor prywatny - spółki handlowe;2017;[-]";"sektor prywatny - spółki handlowe;2018;[-]";
0201000;"Powiat bolesławiecki";15;16;21;14;21;26;30;2;1;1;1;
0202000;"Powiat dzierżoniowski";21;26;18;27;24;34;36;2;0;1;4;
0203000;"Powiat głogowski";7;17;10;24;25;36;33;3;1;0;1;
0204000;"Powiat górowski";3;4;2;5;8;4;3;0;0;0;0;
0205000;"Powiat jaworski";12;7;9;9;24;16;14;0;0;0;0;
0206000;"Powiat jeleniogórski";24;23;20;33;18;33;18;2;1;1;0;
0207000;"Powiat kamiennogórski";4;3;9;6;8;11;6;0;1;1;0;
0208000;"Powiat kłodzki";26;32;38;34;34;36;44;1;4;1;1;
0209000;"Powiat legnicki";11;10;11;14;31;22;17;3;0;2;1;
0210000;"Powiat lubański";12;11;11;16;10;21;18;3;1;1;1;
0211000;"Powiat lubiński";20;23;31;23;15;25;43;5;2;3;0;
0212000;"Powiat lwówecki";5;4;5;13;7;7;10;1;1;1;0;
0213000;"Powiat milicki";2;6;4;5;9;15;16;1;0;1;0;
0214000;"Powiat oleśnicki";38;26;28;41;38;30;34;5;3;2;2;
0215000;"Powiat oławski";19;29;27;31;32;38;34;5;5;3;1;
0216000;"Powiat polkowicki";4;9;6;12;16;12;11;0;4;1;0;
0217000;"Powiat strzeliński";8;10;11;9;18;16;23;2;1;2;0;
0218000;"Powiat średzki";13;15;21;21;32;32;20;1;1;0;0;
0219000;"Powiat świdnicki";39;36;50;51;63;94;62;7;6;2;6;
0220000;"Powiat trzebnicki";13;21;24;37;25;51;35;8;2;2;0;
0221000;"Powiat wałbrzyski";30;28;47;37;40;15;12;0;4;0;1;
0222000;"Powiat wołowski";5;6;9;9;10;11;21;1;1;0;1;
0223000;"Powiat wrocławski";66;79;96;107;158;163;176;20;6;6;4;
0224000;"Powiat ząbkowicki";10;13;23;15;9;31;14;0;0;0;0;
0225000;"Powiat zgorzelecki";7;12;22;15;18;29;21;3;0;2;1;
0226000;"Powiat złotoryjski";3;9;3;10;4;11;8;4;0;0;3;
0261000;"Powiat m.Jelenia Góra";38;33;24;40;48;56;46;11;6;5;4;
0262000;"Powiat m.Legnica";41;47;68;79;83;107;79;10;6;7;3;
0264000;"Powiat m.Wrocław";766;795;1197;1277;1529;1933;1956;228;193;101;102;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;28;45;9;2;2;4;
0401000;"Powiat aleksandrowski";4;5;11;17;11;14;10;2;0;0;0;
0402000;"Powiat brodnicki";8;12;23;10;17;25;12;6;1;0;0;
0403000;"Powiat bydgoski";31;40;40;47;55;74;67;9;9;5;2;
0404000;"Powiat chełmiński";7;5;8;15;7;6;13;2;0;0;0;
0405000;"Powiat golubsko-dobrzyński";7;3;6;7;4;4;6;3;3;0;2;
0406000;"Powiat grudziądzki";7;27;19;3;12;13;5;1;0;1;2;
0407000;"Powiat inowrocławski";22;25;35;83;42;51;31;3;0;5;4;
0408000;"Powiat lipnowski";8;5;4;5;5;12;15;0;0;1;1;
0409000;"Powiat mogileński";3;3;4;7;8;9;8;3;0;0;1;
