"Kod";"Nazwa";"sektor prywatny - ogółem;2008;[-]";"sektor prywatny - ogółem;2009;[-]";"sektor prywatny - ogółem;2010;[-]";"sektor prywatny - ogółem;2011;[-]";"sektor prywatny - ogółem;2012;[-]";"sektor prywatny - ogółem;2013;[-]";"sektor prywatny - ogółem;2014;[-]";"sektor prywatny - ogółem;2015;[-]";"sektor prywatny - ogółem;2016;[-]";"sektor prywatny - ogółem;2017;[-]";"sektor prywatny - ogółem;2018;[-]";
0201000;"Powiat bolesławiecki";763;876;958;808;904;921;855;802;809;782;858;
0202000;"Powiat dzierżoniowski";908;932;1323;1013;906;909;855;763;639;785;799;
0203000;"Powiat głogowski";702;757;830;614;662;607;646;615;542;560;623;
0204000;"Powiat górowski";286;313;272;281;279;247;218;286;235;257;283;
0205000;"Powiat jaworski";441;524;505;383;428;405;393;476;335;397;401;
0206000;"Powiat jeleniogórski";866;859;877;826;804;3445;725;790;597;761;824;
0207000;"Powiat kamiennogórski";335;388;525;345;404;319;307;288;275;341;343;
0208000;"Powiat kłodzki";1161;1368;1752;1354;1418;1290;1294;1139;966;1256;1193;
0209000;"Powiat legnicki";435;465;483;412;448;477;436;467;463;500;508;
0210000;"Powiat lubański";486;524;562;559;533;460;511;474;458;457;498;
0211000;"Powiat lubiński";754;809;862;780;822;699;794;749;734;690;860;
0212000;"Powiat lwówecki";412;411;437;401;428;429;464;442;448;523;516;
0213000;"Powiat milicki";325;317;392;354;394;304;364;329;281;299;342;
0214000;"Powiat oleśnicki";866;925;1020;981;926;864;908;839;802;783;882;
0215000;"Powiat oławski";612;639;710;687;628;642;630;599;577;578;638;
0216000;"Powiat polkowicki";348;455;421;356;363;363;361;378;341;445;386;
0217000;"Powiat strzeliński";395;349;393;338;319;353;334;291;253;301;312;
0218000;"Powiat średzki";415;395;522;451;452;462;455;458;391;434;469;
0219000;"Powiat świdnicki";1305;1451;1703;1443;1369;1381;1307;1188;1072;1158;1292;
0220000;"Powiat trzebnicki";860;818;941;881;775;774;808;741;658;741;864;
