"Kod";"Nazwa";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2008;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2009;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2010;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2011;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2012;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2013;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2014;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2015;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2016;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2017;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2018;[-]";
0201000;"Powiat bolesławiecki";784;806;838;822;855;887;907;924;934;946;968;
0202000;"Powiat dzierżoniowski";1046;922;982;983;990;1005;1018;1025;1023;1040;1052;
0203000;"Powiat głogowski";937;931;938;910;920;916;915;916;910;911;914;
0204000;"Powiat górowski";713;748;752;717;743;766;757;788;802;817;843;
0205000;"Powiat jaworski";903;930;945;908;921;934;931;997;1005;1026;1050;
0206000;"Powiat jeleniogórski";1236;1263;1282;1239;1280;1711;1703;1738;1725;1759;1787;
0207000;"Powiat kamiennogórski";871;891;947;934;968;986;977;974;979;996;1013;
0208000;"Powiat kłodzki";1167;1038;1054;1038;1058;1071;1079;1088;1090;1106;1126;
0209000;"Powiat legnicki";784;803;830;823;844;869;873;893;916;942;960;
0210000;"Powiat lubański";957;976;991;980;1007;1015;1033;1052;1059;1075;1091;
0211000;"Powiat lubiński";901;909;925;904;927;937;938;947;952;955;977;
0212000;"Powiat lwówecki";731;757;783;787;811;842;861;890;905;948;988;
0213000;"Powiat milicki";807;815;851;862;892;902;936;958;967;980;1016;
0214000;"Powiat oleśnicki";854;873;906;891;908;926;936;940;946;960;990;
0215000;"Powiat oławski";939;944;958;945;959;972;975;988;1001;1021;1049;
0216000;"Powiat polkowicki";691;713;722;700;711;720;728;738;743;764;765;
0217000;"Powiat strzeliński";764;790;813;816;825;850;858;868;866;876;902;
0218000;"Powiat średzki";910;935;959;929;952;979;986;1006;1009;1015;1042;
0219000;"Powiat świdnicki";1109;1071;1094;1090;1109;1129;1133;1151;1156;1173;1186;
0220000;"Powiat trzebnicki";941;975;1014;988;1017;1041;1038;1062;1064;1081;1136;
0221000;"Powiat wałbrzyski";1143;1097;1132;1109;1136;1082;1085;1099;1108;1157;1162;
0222000;"Powiat wołowski";743;768;800;782;806;824;833;842;851;871;888;
