"Kod";"Nazwa";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2008;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2009;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2010;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2011;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2012;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2013;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2014;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2015;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2016;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2017;[%]";"udział podmiotów wyrejestrowanych w ogólnej liczbie podmiotów wpisanych do rejestru REGON;2018;[%]";
0201000;"Powiat bolesławiecki";8,0;9,3;7,4;12,8;7,9;8,1;8,3;8,1;9,4;8,0;7,8;
0202000;"Powiat dzierżoniowski";6,1;23,5;6,0;10,3;8,4;7,6;7,6;7,5;7,4;6,5;7,2;
0203000;"Powiat głogowski";7,9;9,2;6,3;10,3;6,6;7,5;8,0;7,5;7,6;7,0;8,0;
0204000;"Powiat górowski";6,2;8,4;7,8;15,0;7,0;6,5;8,5;7,2;7,2;8,0;7,9;
0205000;"Powiat jaworski";5,7;9,0;6,6;12,1;8,6;7,6;8,5;6,7;6,8;6,6;6,3;
0206000;"Powiat jeleniogórski";7,0;9,2;7,8;13,9;6,9;5,9;7,4;5,9;6,7;5,8;6,5;
0207000;"Powiat kamiennogórski";4,5;8,2;5,7;10,1;6,4;6,3;8,3;7,7;6,6;6,1;7,3;
0208000;"Powiat kłodzki";5,1;20,3;5,9;10,1;6,8;6,9;7,2;6,7;6,6;6,3;6,1;
0209000;"Powiat legnicki";7,4;8,9;6,4;11,0;7,7;7,4;8,5;8,1;7,7;7,8;7,7;
0210000;"Powiat lubański";6,0;8,4;7,2;12,2;7,2;7,7;7,8;7,1;7,8;6,8;7,4;
0211000;"Powiat lubiński";6,7;7,3;5,3;10,1;5,8;6,4;7,8;7,2;7,3;7,1;7,0;
0212000;"Powiat lwówecki";6,6;9,2;7,1;10,6;8,2;7,5;9,7;8,1;8,8;8,2;7,7;
0213000;"Powiat milicki";8,1;10,1;7,2;9,6;7,9;7,8;6,7;7,1;7,3;7,4;5,6;
0214000;"Powiat oleśnicki";6,3;7,9;6,3;11,7;7,9;6,9;7,9;8,3;7,8;6,9;5,8;
0215000;"Powiat oławski";5,4;8,8;5,9;10,6;7,0;7,2;8,1;7,1;7,5;6,1;6,1;
0216000;"Powiat polkowicki";7,4;7,1;6,0;11,2;6,2;6,7;6,9;7,4;7,4;7,1;7,9;
0217000;"Powiat strzeliński";4,9;7,1;6,4;9,0;7,4;6,8;7,6;7,4;7,4;6,9;6,0;
