"Kod";"Nazwa";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";
0000000;"POLSKA";3158,48;3315,38;3435,00;3625,21;3744,38;3877,43;4003,99;4150,86;4290,52;4527,89;;
0200000;"DOLNOŚLĄSKIE";3135,83;3295,44;3412,37;3587,25;3709,32;3868,86;4042,86;4204,24;4385,84;4654,51;;
0201000;"Powiat bolesławiecki";2476,41;2629,01;2789,80;2936,92;3057,28;3231,49;3422,90;3548,69;3666,19;3901,94;;
0202000;"Powiat dzierżoniowski";2489,40;2645,13;2832,05;3024,11;3113,13;3156,11;3299,96;3406,18;3562,63;3825,15;;
0203000;"Powiat głogowski";2647,38;2859,95;2914,21;3028,65;3122,99;3320,48;3460,12;3615,99;3723,59;3918,42;;
0204000;"Powiat górowski";2376,54;2464,05;2598,06;2755,49;2908,49;3066,83;3142,52;3242,71;3386,93;3484,31;;
0205000;"Powiat jaworski";2368,60;2506,86;2654,67;2837,23;2983,89;3040,71;3142,45;3323,37;3546,24;3756,46;;
0206000;"Powiat jeleniogórski";2369,63;2562,15;2699,92;2867,09;3031,43;3128,87;3232,50;3413,66;3548,55;3760,49;;
0207000;"Powiat kamiennogórski";2374,82;2546,98;2701,25;2864,01;2983,93;3045,35;3161,57;3269,22;3460,07;3661,88;;
0208000;"Powiat kłodzki";2511,35;2663,41;2803,23;2962,33;3063,43;3200,48;3333,36;3410,23;3526,67;3741,83;;
0209000;"Powiat legnicki";2393,66;2614,48;2737,49;2918,37;3065,20;3179,49;3354,83;3403,32;3579,41;3774,63;;
0210000;"Powiat lubański";2314,66;2464,38;2600,59;2809,95;2937,03;3034,94;3195,72;3313,97;3431,31;3622,21;;
0211000;"Powiat lubiński";5432,42;5615,55;6012,95;6281,17;6541,95;6641,40;6807,05;6955,85;7170,21;7515,99;;
0212000;"Powiat lwówecki";2487,06;2613,72;2714,29;2915,48;3010,71;3104,47;3132,07;3323,95;3420,20;3570,16;;
0213000;"Powiat milicki";2396,97;2467,59;2620,28;2784,02;2864,74;2935,92;3082,62;3221,15;3349,75;3617,72;;
0214000;"Powiat oleśnicki";2448,70;2528,21;2672,93;2856,02;3060,40;3254,89;3308,51;3456,50;3631,94;3857,75;;
