"Kod";"Nazwa";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2005;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2006;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2007;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2008;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2009;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2010;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2011;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2012;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2013;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2014;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2015;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2016;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2017;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2018;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2019;[m2]";
0201000;"Powiat bolesławiecki";36634;105962;25212;34100;41810;50317;54503;34040;21520;28742;27428;61957;96353;76282;;
0202000;"Powiat dzierżoniowski";11975;11684;28829;30001;7519;13651;25737;24256;22804;18783;20665;10033;12599;16333;;
0203000;"Powiat głogowski";13573;10942;36489;21246;12894;14808;13331;10420;24127;20995;21004;39146;29646;16583;;
0204000;"Powiat górowski";6983;5723;6344;3433;1694;6588;3480;8742;6770;7707;7497;2362;12478;4577;;
0205000;"Powiat jaworski";22907;10232;8080;6747;6281;5144;11765;9350;8350;7233;5952;10824;5342;7579;;
0206000;"Powiat jeleniogórski";19753;1020;3729;26227;35426;14044;1134;5341;10203;18375;26752;19411;27582;32615;;
0207000;"Powiat kamiennogórski";3643;5228;11710;8034;6071;5197;9036;8191;8313;6618;8033;8749;17530;4641;;
0208000;"Powiat kłodzki";54593;24463;39096;43368;38025;41388;23962;24264;21673;39323;41212;15520;18990;34901;;
0209000;"Powiat legnicki";0;0;11844;10207;57450;16852;12806;52774;29284;19145;33967;10349;19274;71896;;
0210000;"Powiat lubański";3812;10140;5469;14680;6794;8654;2970;33444;11723;12304;27492;3708;13202;22850;;
0211000;"Powiat lubiński";7992;4253;6096;8275;8429;10468;10413;10245;5884;5096;10996;12290;18330;20095;;
0212000;"Powiat lwówecki";1928;3590;10125;4640;5522;9390;3920;6473;6857;4782;1598;4236;4543;1898;;
0213000;"Powiat milicki";6866;5883;10007;12525;8155;7374;10550;17434;13242;8208;12379;10463;9161;6140;;
0214000;"Powiat oleśnicki";18044;29389;9504;52979;19550;16512;6051;16763;19253;10811;48922;47701;63218;22214;;
0215000;"Powiat oławski";74953;51988;40013;27542;50050;24376;20367;41190;35115;20486;47528;43337;41565;53773;;
