"Kod";"Nazwa";"o nawierzchni twardej;2001;[km]";"o nawierzchni twardej;2002;[km]";"o nawierzchni twardej;2003;[km]";"o nawierzchni twardej;2004;[km]";"o nawierzchni twardej;2005;[km]";"o nawierzchni twardej;2006;[km]";"o nawierzchni twardej;2007;[km]";"o nawierzchni twardej;2008;[km]";"o nawierzchni twardej;2009;[km]";"o nawierzchni twardej;2010;[km]";"o nawierzchni twardej;2011;[km]";"o nawierzchni twardej;2012;[km]";"o nawierzchni twardej;2013;[km]";"o nawierzchni twardej;2014;[km]";"o nawierzchni twardej;2015;[km]";"o nawierzchni twardej;2016;[km]";"o nawierzchni twardej;2017;[km]";
0201000;"Powiat bolesławiecki";293,8;294,2;278,7;297,7;297,7;297,7;297,7;297,7;297,7;298,5;298,5;298,5;298,5;298,5;298,5;298,5;314,1;
0202000;"Powiat dzierżoniowski";210,3;213,0;213,0;213,0;213,0;213,0;213,0;213,0;200,0;200,0;200,2;200,2;200,2;200,2;200,2;200,5;200,2;
0203000;"Powiat głogowski";124,1;124,3;124,3;124,5;124,5;124,3;124,3;124,3;124,3;124,3;124,3;124,3;102,0;121,6;119,6;119,6;119,6;
0204000;"Powiat górowski";285,6;286,0;286,0;286,0;286,0;286,0;286,0;286,0;282,2;282,2;282,2;282,2;267,1;282,2;282,2;282,2;266,6;
0205000;"Powiat jaworski";304,6;305,0;305,0;305,0;305,0;305,0;305,0;306,0;305,0;305,0;305,0;304,0;304,0;304,0;304,0;300,4;300,4;
0206000;"Powiat jeleniogórski";264,2;264,5;264,5;264,5;264,5;264,5;264,5;264,5;264,5;264,5;264,5;257,3;257,3;257,3;240,9;240,9;240,9;
0207000;"Powiat kamiennogórski";215,3;216,5;216,5;216,5;218,5;218,5;198,1;198,1;198,1;198,1;198,1;198,1;198,1;198,1;198,1;202,6;202,6;
0208000;"Powiat kłodzki";709,1;701,8;701,7;699,4;699,4;699,4;696,9;696,9;696,3;696,3;696,3;696,3;696,3;696,3;696,3;696,3;696,3;
0209000;"Powiat legnicki";342,5;342,9;343,9;343,9;346,6;347,1;336,0;328,8;328,8;328,8;328,8;328,8;328,8;324,5;324,5;328,2;325,9;
0210000;"Powiat lubański";177,5;177,7;177,7;177,7;180,0;180,0;180,0;176,0;176,0;176,0;176,0;176,0;176,0;176,0;176,0;176,0;176,0;
