"Kod";"Nazwa";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2005;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2006;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2007;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2008;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2009;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2010;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2011;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2012;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2013;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2014;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2015;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2016;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2017;[km]";
0201000;"Powiat bolesławiecki";40,8;40,8;41,0;41,0;41,2;42,6;43,3;43,3;43,6;44,2;44,6;44,8;46,4;
0202000;"Powiat dzierżoniowski";92,2;93,6;91,6;91,6;95,6;95,1;96,3;97,3;97,9;98,9;99,2;100,4;100,4;
0203000;"Powiat głogowski";65,4;66,6;68,5;68,5;69,7;68,6;73,5;72,1;68,7;76,7;89,1;93,8;93,9;
0204000;"Powiat górowski";56,4;56,5;56,6;56,6;56,4;57,0;69,2;69,8;68,1;70,4;71,2;71,9;70,2;
0205000;"Powiat jaworski";92,1;92,1;91,9;79,9;82,3;82,4;83,2;86,0;87,8;88,5;89,8;90,1;84,5;
0206000;"Powiat jeleniogórski";99,7;100,3;102,5;102,5;104,0;105,6;101,0;101,2;101,1;101,2;103,1;103,4;103,9;
0207000;"Powiat kamiennogórski";86,4;86,1;80,9;81,0;82,2;82,4;84,5;84,8;85,1;85,2;85,4;86,9;86,9;
0208000;"Powiat kłodzki";79,6;79,7;79,1;79,1;76,7;76,4;76,0;76,0;76,3;76,8;76,9;76,8;76,8;
0209000;"Powiat legnicki";62,5;62,6;61,4;60,7;57,9;57,9;57,9;61,3;61,0;61,4;62,8;63,3;65,9;
0210000;"Powiat lubański";89,1;95,9;96,2;100,4;91,9;102,6;90,2;80,0;88,2;94,7;94,1;94,3;93,3;
0211000;"Powiat lubiński";48,3;49,0;52,2;53,7;55,7;56,9;56,3;56,8;60,6;60,6;61,7;61,9;61,5;
0212000;"Powiat lwówecki";77,8;77,9;78,0;79,5;80,1;80,4;82,9;83,5;82,4;81,6;81,6;81,6;83,1;
0213000;"Powiat milicki";49,3;49,3;50,5;50,7;50,7;50,7;50,7;50,0;50,0;50,4;51,1;51,2;51,3;
0214000;"Powiat oleśnicki";68,2;69,6;71,4;67,2;68,2;69,3;69,9;70,5;72,1;73,2;74,6;78,3;80,9;
0215000;"Powiat oławski";58,4;58,7;59,5;60,0;60,4;61,0;61,1;61,2;61,6;62,3;62,6;63,4;64,1;
0216000;"Powiat polkowicki";48,5;48,9;49,2;49,3;48,2;49,5;50,2;50,3;50,7;51,1;52,6;54,3;53,8;
0217000;"Powiat strzeliński";74,5;74,5;78,0;78,4;79,3;79,3;81,3;81,3;81,4;81,5;81,5;81,5;81,7;
0218000;"Powiat średzki";59,4;59,7;60,0;60,0;64,9;61,9;62,7;62,7;63,0;63,5;64,6;65,2;68,6;
0219000;"Powiat świdnicki";93,0;93,5;90,0;92,0;92,9;95,6;98,0;99,9;100,5;101,4;101,9;102,5;102,3;
0220000;"Powiat trzebnicki";53,8;53,9;54,1;54,1;53,6;60,5;60,5;59,9;59,9;60,8;61,3;60,6;66,0;
0221000;"Powiat wałbrzyski";103,1;103,0;102,1;102,1;102,7;103,4;106,2;106,4;89,8;92,8;95,1;94,3;94,4;
0222000;"Powiat wołowski";45,7;45,7;46,2;46,9;47,1;47,1;73,4;73,5;45,7;73,9;73,6;73,7;74,4;
0223000;"Powiat wrocławski";80,2;82,1;82,7;83,8;85,2;77,0;83,6;83,5;85,8;85,2;85,3;87,1;88,7;
0224000;"Powiat ząbkowicki";67,6;67,7;67,7;67,7;66,1;65,4;65,7;59,6;63,1;63,7;64,3;64,3;62,8;
0225000;"Powiat zgorzelecki";58,7;58,0;57,6;58,3;59,1;59,8;60,8;61,0;60,8;61,2;61,8;63,8;63,0;
0226000;"Powiat złotoryjski";65,3;65,3;64,2;66,8;68,5;69,0;69,1;70,1;70,2;71,0;72,2;73,9;74,4;
0261000;"Powiat m.Jelenia Góra";166,2;166,4;182,5;182,5;187,0;187,8;187,8;186,0;186,0;186,0;194,9;194,9;194,9;
0262000;"Powiat m.Legnica";326,9;337,2;338,1;340,4;354,6;367,0;367,4;367,4;367,2;358,7;355,7;354,4;356,9;
0264000;"Powiat m.Wrocław";255,2;255,1;255,8;257,3;259,7;262,7;263,5;264,9;278,2;285,5;286,3;287,9;288,6;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;;;;192,0;194,5;194,5;194,5;194,5;
0401000;"Powiat aleksandrowski";84,9;86,0;87,5;88,3;94,0;100,2;103,0;101,1;104,1;117,6;118,9;118,7;130,3;
0402000;"Powiat brodnicki";54,9;55,1;55,9;55,8;60,3;61,8;67,0;68,2;70,2;71,8;72,6;73,8;75,9;
0403000;"Powiat bydgoski";38,8;39,3;42,1;42,7;44,7;48,1;49,8;50,8;54,6;56,4;56,9;59,9;72,4;
0404000;"Powiat chełmiński";76,3;77,2;78,9;79,1;88,0;90,1;96,4;97,9;119,2;99,8;100,9;100,8;107,3;
0405000;"Powiat golubsko-dobrzyński";56,1;55,7;57,6;58,5;62,7;64,6;68,1;66,0;67,2;68,6;70,8;73,0;79,3;
0406000;"Powiat grudziądzki";79,3;79,3;80,5;80,6;79,6;86,3;85,9;86,5;87,1;87,8;89,7;93,4;94,9;
0407000;"Powiat inowrocławski";71,6;71,4;70,9;67,8;70,9;78,9;72,7;74,6;74,9;76,3;77,1;78,9;78,5;
0408000;"Powiat lipnowski";45,6;46,1;46,7;47,3;53,0;56,8;59,5;60,4;61,8;60,9;65,9;67,3;68,3;
0409000;"Powiat mogileński";94,4;94,5;94,5;94,6;94,6;94,9;100,7;100,8;100,8;101,0;101,0;101,1;97,7;
0410000;"Powiat nakielski";52,9;53,1;53,5;54,2;61,1;61,4;60,3;60,4;60,9;60,2;59,8;62,8;63,6;
0411000;"Powiat radziejowski";100,1;101,0;102,9;105,2;109,7;113,0;114,1;118,1;121,3;122,6;125,3;128,5;132,5;
