"Kod";"Nazwa";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2005;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2006;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2007;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2008;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2009;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2010;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2011;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2012;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2013;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2014;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2015;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2016;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2017;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2018;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2019;[m2]";
0201000;"Powiat bolesławiecki";96;11197;5090;8364;9089;6538;15435;1550;3267;6134;7661;47434;64311;57461;;
0202000;"Powiat dzierżoniowski";1812;624;653;841;1409;1113;1626;5770;3196;4608;332;297;2527;2311;;
0203000;"Powiat głogowski";853;4171;91;1660;5009;688;2843;1192;6838;7222;6935;609;1506;2911;;
0204000;"Powiat górowski";104;750;1047;190;0;800;699;533;504;340;127;1566;384;149;;
0205000;"Powiat jaworski";306;2152;147;4070;1005;231;920;933;315;577;2140;187;2655;723;;
0206000;"Powiat jeleniogórski";2336;69;1860;10143;0;0;0;0;0;0;740;801;0;0;;
0207000;"Powiat kamiennogórski";247;0;506;0;0;343;1131;1440;160;3003;593;1639;1766;0;;
0208000;"Powiat kłodzki";2664;3510;3264;1896;5073;3427;3018;1708;784;127;3723;3271;1256;21392;;
0209000;"Powiat legnicki";0;0;3395;44;35847;442;2019;1671;250;0;22735;633;5158;52486;;
0210000;"Powiat lubański";77;66;0;221;614;1590;1703;20856;200;330;3734;1685;0;14233;;
0211000;"Powiat lubiński";985;301;1507;455;3696;1652;5687;2135;835;113;1446;4044;4084;2056;;
0212000;"Powiat lwówecki";130;0;453;0;388;861;0;1044;0;211;0;1590;384;0;;
0213000;"Powiat milicki";1620;749;1246;2050;1283;1819;545;12422;2690;560;0;3694;360;0;;
0214000;"Powiat oleśnicki";4260;7266;1282;5282;1184;1012;1447;11688;3509;6145;40882;7804;44943;2651;;
0215000;"Powiat oławski";14194;21114;8499;1444;6438;381;1919;16806;639;8716;17913;7109;4798;13442;;
0216000;"Powiat polkowicki";393;138;11139;1547;1147;101;29866;25852;0;2277;36923;216;748;2756;;
0217000;"Powiat strzeliński";1450;0;1048;4878;8356;4072;896;5966;3463;4520;2341;7114;2847;929;;
0218000;"Powiat średzki";14943;4868;7710;12259;8286;1530;2137;4681;9293;4455;5767;9941;5064;6162;;
0219000;"Powiat świdnicki";7185;372;2525;3112;999;2529;4000;4867;5332;2886;12553;12177;7738;20954;;
0220000;"Powiat trzebnicki";0;2599;6787;3979;2999;233;1506;433;0;6725;2464;3066;1638;4134;;
0221000;"Powiat wałbrzyski";171;1080;3426;0;3348;3079;3180;3191;0;0;86;150;3991;991;;
0222000;"Powiat wołowski";520;722;9307;27;1127;710;533;1819;140;286;1202;5462;794;715;;
0223000;"Powiat wrocławski";34581;91326;97992;65584;64044;22093;52994;60097;56764;234311;122166;122526;110802;83734;;
0224000;"Powiat ząbkowicki";625;0;778;180;0;29;801;4641;3332;2637;782;1002;1270;4444;;
0225000;"Powiat zgorzelecki";0;636;0;0;0;0;20;999;28;0;0;509;1618;0;;
0226000;"Powiat złotoryjski";318;231;445;0;0;909;726;0;0;5619;1518;0;985;1446;;
0261000;"Powiat m.Jelenia Góra";85;398;484;2205;321;0;4836;345;2621;7922;4314;17822;490;2153;;
0262000;"Powiat m.Legnica";16048;36442;10470;2175;0;1208;7261;3216;4200;7099;2400;1602;409;2328;;
