"Kod";"Nazwa";"sektor prywatny - spółki handlowe;2003;[-]";"sektor prywatny - spółki handlowe;2004;[-]";"sektor prywatny - spółki handlowe;2005;[-]";"sektor prywatny - spółki handlowe;2006;[-]";"sektor prywatny - spółki handlowe;2007;[-]";"sektor prywatny - spółki handlowe;2008;[-]";"sektor prywatny - spółki handlowe;2009;[-]";"sektor prywatny - spółki handlowe;2010;[-]";"sektor prywatny - spółki handlowe;2011;[-]";"sektor prywatny - spółki handlowe;2012;[-]";"sektor prywatny - spółki handlowe;2013;[-]";"sektor prywatny - spółki handlowe;2014;[-]";"sektor prywatny - spółki handlowe;2015;[-]";"sektor prywatny - spółki handlowe;2016;[-]";"sektor prywatny - spółki handlowe;2017;[-]";"sektor prywatny - spółki handlowe;2018;[-]";
0201000;"Powiat bolesławiecki";12;15;11;17;14;15;16;21;14;21;26;30;2;1;1;1;
0202000;"Powiat dzierżoniowski";24;14;14;19;16;21;26;18;27;24;34;36;2;0;1;4;
0203000;"Powiat głogowski";16;19;13;12;13;7;17;10;24;25;36;33;3;1;0;1;
0204000;"Powiat górowski";2;7;2;7;3;3;4;2;5;8;4;3;0;0;0;0;
0205000;"Powiat jaworski";4;8;5;8;7;12;7;9;9;24;16;14;0;0;0;0;
0206000;"Powiat jeleniogórski";15;16;16;14;20;24;23;20;33;18;33;18;2;1;1;0;
0207000;"Powiat kamiennogórski";9;2;9;7;12;4;3;9;6;8;11;6;0;1;1;0;
0208000;"Powiat kłodzki";31;31;23;21;21;26;32;38;34;34;36;44;1;4;1;1;
0209000;"Powiat legnicki";7;7;6;9;8;11;10;11;14;31;22;17;3;0;2;1;
0210000;"Powiat lubański";8;14;16;8;9;12;11;11;16;10;21;18;3;1;1;1;
0211000;"Powiat lubiński";18;15;19;14;18;20;23;31;23;15;25;43;5;2;3;0;
0212000;"Powiat lwówecki";7;8;7;7;4;5;4;5;13;7;7;10;1;1;1;0;
0213000;"Powiat milicki";3;6;1;0;4;2;6;4;5;9;15;16;1;0;1;0;
0214000;"Powiat oleśnicki";20;21;14;19;23;38;26;28;41;38;30;34;5;3;2;2;
0215000;"Powiat oławski";12;12;26;7;26;19;29;27;31;32;38;34;5;5;3;1;
