"Kod";"Nazwa";"sektor prywatny - ogółem;2003;[-]";"sektor prywatny - ogółem;2004;[-]";"sektor prywatny - ogółem;2005;[-]";"sektor prywatny - ogółem;2006;[-]";"sektor prywatny - ogółem;2007;[-]";"sektor prywatny - ogółem;2008;[-]";"sektor prywatny - ogółem;2009;[-]";"sektor prywatny - ogółem;2010;[-]";"sektor prywatny - ogółem;2011;[-]";"sektor prywatny - ogółem;2012;[-]";"sektor prywatny - ogółem;2013;[-]";"sektor prywatny - ogółem;2014;[-]";"sektor prywatny - ogółem;2015;[-]";"sektor prywatny - ogółem;2016;[-]";"sektor prywatny - ogółem;2017;[-]";"sektor prywatny - ogółem;2018;[-]";
0201000;"Powiat bolesławiecki";486;866;615;774;731;763;876;958;808;904;921;855;802;809;782;858;
0202000;"Powiat dzierżoniowski";633;639;896;912;876;908;932;1323;1013;906;909;855;763;639;785;799;
0203000;"Powiat głogowski";532;550;634;704;702;702;757;830;614;662;607;646;615;542;560;623;
0204000;"Powiat górowski";151;182;171;243;247;286;313;272;281;279;247;218;286;235;257;283;
0205000;"Powiat jaworski";281;244;261;389;415;441;524;505;383;428;405;393;476;335;397;401;
0206000;"Powiat jeleniogórski";548;583;617;795;720;866;859;877;826;804;3445;725;790;597;761;824;
0207000;"Powiat kamiennogórski";315;231;207;288;324;335;388;525;345;404;319;307;288;275;341;343;
0208000;"Powiat kłodzki";1026;937;1068;1254;1212;1161;1368;1752;1354;1418;1290;1294;1139;966;1256;1193;
0209000;"Powiat legnicki";277;267;313;365;426;435;465;483;412;448;477;436;467;463;500;508;
0210000;"Powiat lubański";295;338;438;670;509;486;524;562;559;533;460;511;474;458;457;498;
0211000;"Powiat lubiński";630;531;645;628;665;754;809;862;780;822;699;794;749;734;690;860;
0212000;"Powiat lwówecki";251;227;250;336;340;412;411;437;401;428;429;464;442;448;523;516;
0213000;"Powiat milicki";226;213;275;297;317;325;317;392;354;394;304;364;329;281;299;342;
0214000;"Powiat oleśnicki";611;546;642;783;788;866;925;1020;981;926;864;908;839;802;783;882;
0215000;"Powiat oławski";475;419;481;512;553;612;639;710;687;628;642;630;599;577;578;638;
0216000;"Powiat polkowicki";259;253;277;271;386;348;455;421;356;363;363;361;378;341;445;386;
0217000;"Powiat strzeliński";223;225;228;303;296;395;349;393;338;319;353;334;291;253;301;312;
0218000;"Powiat średzki";242;237;258;352;383;415;395;522;451;452;462;455;458;391;434;469;
0219000;"Powiat świdnicki";924;959;1226;1330;1226;1305;1451;1703;1443;1369;1381;1307;1188;1072;1158;1292;
0220000;"Powiat trzebnicki";450;466;567;681;732;860;818;941;881;775;774;808;741;658;741;864;
0221000;"Powiat wałbrzyski";1223;1014;1355;1346;1190;1303;1542;1711;1417;1417;478;456;394;411;604;431;
0222000;"Powiat wołowski";261;252;313;309;297;358;370;447;382;358;347;376;344;310;350;364;
0223000;"Powiat wrocławski";652;609;747;912;1033;1145;1245;1456;1544;1553;1610;1701;1497;1430;1613;1953;
0224000;"Powiat ząbkowicki";333;336;420;542;438;612;544;709;574;652;821;596;591;569;600;573;
0225000;"Powiat zgorzelecki";801;524;588;648;626;699;741;903;730;751;771;800;577;525;511;564;
0226000;"Powiat złotoryjski";205;195;264;299;311;328;421;472;395;394;362;385;344;317;405;392;
0261000;"Powiat m.Jelenia Góra";734;891;988;982;920;992;1066;1189;1021;1044;1034;899;935;788;750;775;
0262000;"Powiat m.Legnica";802;791;1137;1115;1077;1116;1161;1189;1029;1132;1200;994;1006;870;879;896;
0264000;"Powiat m.Wrocław";5795;5431;5967;7074;6997;7383;8118;9038;9053;9217;9497;9281;7257;7347;7645;8503;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;;;;;;899;860;819;684;706;709;
0401000;"Powiat aleksandrowski";283;320;364;352;336;348;409;470;496;396;451;398;378;448;474;555;
0402000;"Powiat brodnicki";325;308;395;462;442;512;599;600;543;572;568;533;466;520;514;603;
0403000;"Powiat bydgoski";589;540;617;746;800;890;1081;1166;1176;1104;1071;1096;975;940;954;1108;
0404000;"Powiat chełmiński";225;254;292;354;319;359;388;345;362;317;350;316;290;268;294;370;
0405000;"Powiat golubsko-dobrzyński";219;219;253;290;290;319;352;377;274;302;336;318;305;290;297;321;
0406000;"Powiat grudziądzki";158;146;183;251;237;237;305;305;288;214;279;277;324;232;236;329;
0407000;"Powiat inowrocławski";1148;1140;1384;1531;1579;1527;1510;1702;1442;1355;1460;1375;1197;1079;1044;1319;
0408000;"Powiat lipnowski";305;242;266;377;334;463;476;468;392;454;526;424;462;322;471;534;
0409000;"Powiat mogileński";218;211;224;317;331;359;385;425;342;317;321;302;318;268;256;319;
0410000;"Powiat nakielski";402;376;555;565;533;594;585;733;665;595;597;602;563;493;578;681;
0411000;"Powiat radziejowski";166;135;181;199;198;225;270;281;262;262;245;248;284;254;292;360;
0412000;"Powiat rypiński";217;227;229;277;247;262;289;314;278;277;299;273;261;253;239;332;
0413000;"Powiat sępoleński";192;194;232;331;320;327;423;284;302;315;286;247;242;238;301;311;
0414000;"Powiat świecki";449;402;472;554;579;628;764;875;731;603;662;607;589;486;634;606;
0415000;"Powiat toruński";457;504;520;718;731;744;870;1006;1000;912;1098;989;880;836;901;1104;
0416000;"Powiat tucholski";267;227;306;392;357;338;384;365;375;308;335;320;304;277;336;414;
0417000;"Powiat wąbrzeski";152;162;186;196;195;195;265;247;273;223;230;245;225;199;207;297;
0418000;"Powiat włocławski";282;269;327;378;358;400;464;547;577;551;576;590;489;475;510;582;
0419000;"Powiat żniński";415;375;490;620;559;620;570;607;585;487;586;613;502;427;492;573;
0461000;"Powiat m.Bydgoszcz";2780;2504;2887;3202;3241;3529;3712;3885;3648;3819;3698;3415;3230;2880;2753;3028;
0462000;"Powiat m.Grudziądz";648;599;757;814;822;831;923;930;827;746;794;679;693;652;601;679;
0463000;"Powiat m.Toruń";1681;1499;1619;2036;1927;2003;2255;2515;2388;2470;2560;2384;1990;1861;1843;1996;
0464000;"Powiat m.Włocławek";739;702;795;806;706;777;880;927;898;966;1012;852;730;720;699;757;
0601000;"Powiat bialski";451;346;404;470;520;505;562;571;563;606;599;618;487;512;612;739;
0602000;"Powiat biłgorajski";439;375;310;446;443;481;585;680;625;564;636;606;556;566;651;821;
