"Kod";"Nazwa";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2002;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2003;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2004;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2005;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2006;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2007;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2008;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2009;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2010;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2011;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2012;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2013;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2014;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2015;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2016;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2017;[-]";"podmioty wpisane do rejestru REGON na 10 tys. ludności;2018;[-]";
0201000;"Powiat bolesławiecki";697;717;771;790;741;762;784;806;838;822;855;887;907;924;934;946;968;
0202000;"Powiat dzierżoniowski";939;982;984;974;997;1019;1046;922;982;983;990;1005;1018;1025;1023;1040;1052;
0203000;"Powiat głogowski";921;927;914;913;912;929;937;931;938;910;920;916;915;916;910;911;914;
0204000;"Powiat górowski";602;630;631;626;642;666;713;748;752;717;743;766;757;788;802;817;843;
0205000;"Powiat jaworski";839;875;841;832;846;865;903;930;945;908;921;934;931;997;1005;1026;1050;
0206000;"Powiat jeleniogórski";1024;1058;1095;1127;1153;1173;1236;1263;1282;1239;1280;1711;1703;1738;1725;1759;1787;
0207000;"Powiat kamiennogórski";680;764;766;769;792;815;871;891;947;934;968;986;977;974;979;996;1013;
0208000;"Powiat kłodzki";1029;1090;1113;1112;1132;1150;1167;1038;1054;1038;1058;1071;1079;1088;1090;1106;1126;
0209000;"Powiat legnicki";736;764;730;718;733;762;784;803;830;823;844;869;873;893;916;942;960;
0210000;"Powiat lubański";788;800;802;826;874;920;957;976;991;980;1007;1015;1033;1052;1059;1075;1091;
0211000;"Powiat lubiński";924;954;929;905;893;892;901;909;925;904;927;937;938;947;952;955;977;
0212000;"Powiat lwówecki";628;646;628;630;648;680;731;757;783;787;811;842;861;890;905;948;988;
0213000;"Powiat milicki";817;854;841;786;765;784;807;815;851;862;892;902;936;958;967;980;1016;
0214000;"Powiat oleśnicki";764;799;795;793;797;821;854;873;906;891;908;926;936;940;946;960;990;
0215000;"Powiat oławski";886;945;923;898;886;907;939;944;958;945;959;972;975;988;1001;1021;1049;
0216000;"Powiat polkowicki";667;697;685;677;658;684;691;713;722;700;711;720;728;738;743;764;765;
0217000;"Powiat strzeliński";634;672;661;655;672;705;764;790;813;816;825;850;858;868;866;876;902;
0218000;"Powiat średzki";787;823;823;814;832;870;910;935;959;929;952;979;986;1006;1009;1015;1042;
0219000;"Powiat świdnicki";979;1030;1031;1039;1064;1084;1109;1071;1094;1090;1109;1129;1133;1151;1156;1173;1186;
0220000;"Powiat trzebnicki";836;881;871;853;847;884;941;975;1014;988;1017;1041;1038;1062;1064;1081;1136;
0221000;"Powiat wałbrzyski";935;1101;1092;1096;1117;1129;1143;1097;1132;1109;1136;1082;1085;1099;1108;1157;1162;
0222000;"Powiat wołowski";723;767;761;741;717;720;743;768;800;782;806;824;833;842;851;871;888;
0223000;"Powiat wrocławski";819;872;878;860;870;911;966;1015;1053;1094;1158;1214;1261;1292;1317;1364;1434;
0224000;"Powiat ząbkowicki";835;869;876;839;869;881;932;882;912;896;915;991;1002;1017;1030;1052;1066;
0225000;"Powiat zgorzelecki";779;835;831;839;844;855;888;895;917;907;922;947;965;971;966;970;976;
0226000;"Powiat złotoryjski";838;862;838;843;851;870;901;932;978;964;990;1019;1031;1051;1060;1087;1108;
0261000;"Powiat m.Jelenia Góra";1320;1343;1391;1456;1361;1380;1407;1445;1499;1480;1523;1555;1546;1561;1576;1580;1554;
0262000;"Powiat m.Legnica";1146;1176;1154;1188;1197;1216;1240;1259;1310;1259;1298;1327;1333;1359;1348;1351;1350;
0264000;"Powiat m.Wrocław";1456;1494;1485;1463;1465;1482;1512;1544;1608;1605;1665;1714;1739;1781;1826;1882;1915;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;;;;;;;1199;1207;1212;1212;1218;1202;
0401000;"Powiat aleksandrowski";887;932;913;910;896;901;913;843;849;846;854;860;863;863;878;901;926;
0402000;"Powiat brodnicki";657;692;680;701;731;761;781;669;684;680;702;714;724;743;758;774;800;
0403000;"Powiat bydgoski";828;859;848;873;878;907;940;945;989;1001;1034;1064;1085;1096;1108;1127;1152;
0404000;"Powiat chełmiński";630;632;594;591;605;615;628;653;655;654;671;687;693;698;698;709;724;
0405000;"Powiat golubsko-dobrzyński";670;704;683;692;697;708;732;702;735;715;728;749;759;776;786;802;822;
0406000;"Powiat grudziądzki";493;523;519;539;568;590;604;625;628;639;650;673;689;717;728;729;762;
0407000;"Powiat inowrocławski";753;771;755;769;785;794;820;832;807;800;813;825;824;823;820;818;830;
0408000;"Powiat lipnowski";677;719;707;696;706;707;738;684;692;668;687;706;716;728;724;736;761;
0409000;"Powiat mogileński";657;683;671;674;689;704;726;739;695;687;699;711;714;717;726;732;757;
0410000;"Powiat nakielski";736;759;745;772;780;785;800;717;703;696;700;707;721;721;718;727;750;
0411000;"Powiat radziejowski";732;765;707;724;746;760;777;694;707;698;716;734;746;755;775;796;830;
0412000;"Powiat rypiński";766;805;800;788;778;789;792;754;746;725;740;752;755;760;760;765;790;
0413000;"Powiat sępoleński";662;694;680;697;738;758;786;704;709;697;723;740;741;743;735;750;783;
0414000;"Powiat świecki";668;702;696;713;724;733;751;702;726;730;735;742;749;758;747;763;778;
0415000;"Powiat toruński";692;709;678;677;694;721;747;765;812;833;854;891;910;923;929;939;970;
0416000;"Powiat tucholski";667;698;672;687;686;695;707;698;697;684;693;703;703;706;706;718;743;
0417000;"Powiat wąbrzeski";710;738;644;631;639;647;653;608;623;637;656;683;699;709;707;722;761;
0418000;"Powiat włocławski";595;621;599;609;622;633;651;618;634;627;653;677;690;691;698;703;718;
0419000;"Powiat żniński";715;729;704;723;743;733;753;741;725;712;724;743;756;765;755;757;784;
0461000;"Powiat m.Bydgoszcz";1249;1294;1231;1276;1236;1239;1260;1196;1200;1182;1201;1208;1195;1205;1213;1220;1208;
0462000;"Powiat m.Grudziądz";915;950;923;903;904;908;911;893;831;805;812;826;828;845;854;857;864;
0463000;"Powiat m.Toruń";1204;1246;1230;1213;1219;1226;1236;1112;1159;1171;1209;1247;1265;1280;1290;1295;1293;
