"Kod";"Nazwa";"rok;wpisane;spółki handlowe;2005;[-]";"rok;wpisane;spółki handlowe;2006;[-]";"rok;wpisane;spółki handlowe;2007;[-]";"rok;wpisane;spółki handlowe;2008;[-]";"rok;wpisane;spółki handlowe;2009;[-]";"rok;wpisane;spółki handlowe;2010;[-]";"rok;wpisane;spółki handlowe;2011;[-]";"rok;wpisane;spółki handlowe;2012;[-]";"rok;wpisane;spółki handlowe;2013;[-]";"rok;wpisane;spółki handlowe;2014;[-]";"rok;wpisane;spółki handlowe;2015;[-]";"rok;wpisane;spółki handlowe;2016;[-]";"rok;wpisane;spółki handlowe;2017;[-]";"rok;wpisane;spółki handlowe;2018;[-]";"rok;wpisane;spółki handlowe;2019;[-]";
0201000;"Powiat bolesławiecki";313;333;347;358;370;373;385;402;431;458;469;503;533;468;;
0202000;"Powiat dzierżoniowski";417;432;449;454;467;481;497;513;541;570;577;609;647;539;;
0203000;"Powiat głogowski";404;415;428;416;430;443;450;471;496;520;512;525;542;412;;
0204000;"Powiat górowski";87;95;97;100;103;102;108;118;120;122;123;128;132;106;;
0205000;"Powiat jaworski";163;172;182;185;194;202;205;222;238;250;252;275;303;250;;
0206000;"Powiat jeleniogórski";383;391;411;432;455;471;494;503;529;539;540;567;588;434;;
0207000;"Powiat kamiennogórski";180;188;197;199;203;209;212;217;223;228;225;233;238;168;;
0208000;"Powiat kłodzki";521;535;548;559;587;615;637;671;703;733;747;788;818;683;;
0209000;"Powiat legnicki";138;147;157;165;171;175;184;212;233;246;258;272;284;271;;
0210000;"Powiat lubański";212;215;221;235;246;255;269;280;295;315;321;329;330;251;;
0211000;"Powiat lubiński";390;401;415;431;447;481;498;510;532;556;569;578;596;501;;
0212000;"Powiat lwówecki";122;129;135;139;143;150;160;162;169;182;185;188;191;152;;
0213000;"Powiat milicki";72;72;76;81;88;93;94;104;116;136;131;126;127;117;;
0214000;"Powiat oleśnicki";274;295;318;348;377;398;433;462;486;526;539;604;664;643;;
0215000;"Powiat oławski";278;291;321;335;365;385;410;428;451;471;479;532;588;564;;
0216000;"Powiat polkowicki";164;173;184;180;193;194;196;205;213;226;231;238;253;207;;
0217000;"Powiat strzeliński";140;146;163;171;175;179;186;197;212;227;238;254;278;249;;
0218000;"Powiat średzki";177;192;206;215;233;254;277;312;341;356;374;396;424;425;;
0219000;"Powiat świdnicki";914;943;988;995;1020;1052;1081;1132;1217;1261;1294;1377;1475;1257;;
0220000;"Powiat trzebnicki";264;276;286;297;319;347;377;395;446;470;491;533;577;549;;
0221000;"Powiat wałbrzyski";965;975;982;973;989;1027;1049;1079;241;254;255;273;285;224;;
0222000;"Powiat wołowski";121;126;135;142;147;152;158;166;176;192;192;205;223;193;;
0223000;"Powiat wrocławski";577;651;758;835;942;1071;1170;1341;1503;1674;1763;1956;2142;2193;;
0224000;"Powiat ząbkowicki";222;229;240;242;253;273;283;290;319;326;339;345;357;306;;
0225000;"Powiat zgorzelecki";332;348;361;362;371;391;397;408;440;458;495;552;591;513;;
0226000;"Powiat złotoryjski";168;174;180;178;189;191;194;189;195;202;216;260;255;187;;
0261000;"Powiat m.Jelenia Góra";907;940;965;989;1011;1033;1062;1105;1156;1197;1225;1301;1356;963;;
0262000;"Powiat m.Legnica";629;650;678;695;737;798;877;956;1032;1104;1144;1222;1313;1174;;
0264000;"Powiat m.Wrocław";9013;9666;10464;10946;11564;12594;13651;15043;16797;18572;19191;21331;22905;21641;;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;;;;874;912;921;958;979;686;;
0401000;"Powiat aleksandrowski";136;140;148;149;153;166;183;193;203;205;208;228;247;212;;
0402000;"Powiat brodnicki";146;157;166;166;180;197;197;211;239;246;262;290;308;288;;
0403000;"Powiat bydgoski";408;440;487;506;544;587;629;688;769;828;846;936;1012;994;;
0404000;"Powiat chełmiński";117;122;122;129;132;143;153;158;163;172;176;181;183;142;;
0405000;"Powiat golubsko-dobrzyński";83;88;93;98;98;104;109;113;114;123;129;147;156;151;;
0406000;"Powiat grudziądzki";65;70;76;84;112;130;133;144;152;156;163;173;173;163;;
0407000;"Powiat inowrocławski";476;491;503;510;515;547;620;646;687;709;725;781;813;697;;
0408000;"Powiat lipnowski";99;103;109;114;116;121;123;126;138;152;161;176;190;155;;
0409000;"Powiat mogileński";69;74;80;79;83;91;98;104;112;123;125;140;149;150;;
0410000;"Powiat nakielski";215;223;228;241;247;250;252;256;272;282;286;307;332;291;;
0411000;"Powiat radziejowski";55;57;60;63;63;66;69;70;70;73;75;77;76;69;;
0412000;"Powiat rypiński";76;80;86;87;91;99;103;121;128;136;143;151;152;140;;
0413000;"Powiat sępoleński";81;86;86;83;85;88;88;90;100;104;110;110;113;105;;
0414000;"Powiat świecki";205;223;229;251;261;275;289;313;336;354;371;379;391;358;;
0415000;"Powiat toruński";253;276;295;307;333;349;397;429;475;521;535;589;628;604;;
0416000;"Powiat tucholski";100;101;107;110;111;114;112;121;129;128;131;136;146;109;;
0417000;"Powiat wąbrzeski";52;53;53;59;57;67;78;81;85;92;95;104;115;115;;
0418000;"Powiat włocławski";162;167;181;186;197;208;225;242;254;262;265;278;284;230;;
0419000;"Powiat żniński";123;132;136;147;153;159;171;179;198;224;226;245;266;254;;
0461000;"Powiat m.Bydgoszcz";3213;3323;3441;3535;3641;3786;3909;4120;4339;4614;4759;5113;5456;4446;;
0462000;"Powiat m.Grudziądz";392;403;424;419;422;430;442;468;505;529;552;615;644;568;;
0463000;"Powiat m.Toruń";1786;1884;2016;2042;2168;2333;2462;2643;2860;3052;3135;3402;3606;3148;;
0464000;"Powiat m.Włocławek";757;774;798;798;817;840;860;904;943;975;978;1030;1059;705;;
0601000;"Powiat bialski";209;214;222;228;234;257;280;297;333;350;363;398;428;372;;
0602000;"Powiat biłgorajski";125;131;139;139;149;170;179;196;210;224;228;243;252;217;;
0603000;"Powiat chełmski";82;89;94;95;99;104;107;113;122;125;135;155;163;135;;
0604000;"Powiat hrubieszowski";66;66;67;67;73;77;78;81;89;94;98;109;111;95;;
0605000;"Powiat janowski";73;78;79;83;90;94;92;98;105;105;107;110;114;94;;
0606000;"Powiat krasnostawski";73;70;72;76;84;85;94;96;101;104;101;119;120;100;;
0607000;"Powiat kraśnicki";135;141;147;143;147;154;170;184;201;205;211;233;244;216;;
0608000;"Powiat lubartowski";110;118;130;130;135;146;152;159;173;188;190;205;234;228;;
0609000;"Powiat lubelski";277;294;316;333;345;373;407;429;476;517;531;588;637;614;;
0610000;"Powiat łęczyński";97;101;106;113;120;126;136;143;152;154;155;158;164;133;;
0611000;"Powiat łukowski";119;120;126;129;143;164;183;191;196;210;218;247;283;276;;
0612000;"Powiat opolski";105;102;108;102;99;100;107;120;129;137;142;144;146;126;;
0613000;"Powiat parczewski";58;57;62;62;67;70;73;76;82;85;89;96;99;76;;
0614000;"Powiat puławski";303;312;330;338;347;373;381;404;426;450;456;503;527;477;;
0615000;"Powiat radzyński";60;61;60;58;66;74;80;86;91;97;96;100;112;101;;
0616000;"Powiat rycki";64;66;69;71;81;85;92;100;109;123;128;140;154;145;;
0617000;"Powiat świdnicki";167;190;198;206;220;238;253;271;281;293;309;333;354;318;;
0618000;"Powiat tomaszowski";143;148;159;156;168;175;184;195;212;217;221;227;237;208;;
0619000;"Powiat włodawski";67;69;75;74;75;76;85;84;91;96;97;97;97;76;;
0620000;"Powiat zamojski";102;105;114;117;118;123;135;151;165;172;176;183;194;169;;
0661000;"Powiat m.Biała Podlaska";372;390;406;431;453;483;530;570;621;669;708;767;822;708;;
0662000;"Powiat m.Chełm";331;338;350;355;368;386;390;409;435;463;480;534;565;464;;
0663000;"Powiat m.Lublin";3372;3477;3611;3742;3927;4175;4347;4701;5150;5543;5742;6308;6694;5754;;
0664000;"Powiat m.Zamość";403;417;437;444;454;470;485;515;530;541;541;562;595;429;;
0801000;"Powiat gorzowski";349;358;374;393;412;428;452;472;500;528;545;573;584;460;;
0802000;"Powiat krośnieński";202;207;215;209;215;221;234;249;260;270;273;284;298;223;;
0803000;"Powiat międzyrzecki";260;268;278;292;304;319;325;341;364;396;403;424;436;331;;
0804000;"Powiat nowosolski";294;306;312;320;331;333;346;378;405;433;426;493;482;387;;
0805000;"Powiat słubicki";410;429;440;457;470;472;503;525;549;580;581;602;595;447;;
