"Kod";"Nazwa";"ogółem;2002;[zł]";"ogółem;2003;[zł]";"ogółem;2004;[zł]";"ogółem;2005;[zł]";"ogółem;2006;[zł]";"ogółem;2007;[zł]";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";
0201000;"Powiat bolesławiecki";1873,59;1951,43;2027,29;2086,26;2153,06;2324,46;2476,41;2629,01;2789,80;2936,92;3057,28;3231,49;3422,90;3548,69;3666,19;3901,94;;
0202000;"Powiat dzierżoniowski";1703,68;1785,00;1837,06;1900,52;2028,86;2246,79;2489,40;2645,13;2832,05;3024,11;3113,13;3156,11;3299,96;3406,18;3562,63;3825,15;;
0203000;"Powiat głogowski";1868,60;1970,64;2045,52;2133,48;2276,38;2452,70;2647,38;2859,95;2914,21;3028,65;3122,99;3320,48;3460,12;3615,99;3723,59;3918,42;;
0204000;"Powiat górowski";1730,53;1743,33;1769,96;1857,89;1944,30;2101,60;2376,54;2464,05;2598,06;2755,49;2908,49;3066,83;3142,52;3242,71;3386,93;3484,31;;
0205000;"Powiat jaworski";1705,19;1766,69;1851,79;1888,36;2009,38;2193,68;2368,60;2506,86;2654,67;2837,23;2983,89;3040,71;3142,45;3323,37;3546,24;3756,46;;
0206000;"Powiat jeleniogórski";1691,34;1754,74;1823,39;1878,46;2012,25;2158,71;2369,63;2562,15;2699,92;2867,09;3031,43;3128,87;3232,50;3413,66;3548,55;3760,49;;
0207000;"Powiat kamiennogórski";1728,28;1789,33;1824,14;1863,91;1995,80;2173,04;2374,82;2546,98;2701,25;2864,01;2983,93;3045,35;3161,57;3269,22;3460,07;3661,88;;
0208000;"Powiat kłodzki";1786,22;1839,79;1905,66;1998,81;2102,68;2308,06;2511,35;2663,41;2803,23;2962,33;3063,43;3200,48;3333,36;3410,23;3526,67;3741,83;;
0209000;"Powiat legnicki";1698,83;1783,42;1807,29;1859,22;1990,38;2181,72;2393,66;2614,48;2737,49;2918,37;3065,20;3179,49;3354,83;3403,32;3579,41;3774,63;;
0210000;"Powiat lubański";1704,60;1736,02;1807,46;1840,27;1941,71;2111,18;2314,66;2464,38;2600,59;2809,95;2937,03;3034,94;3195,72;3313,97;3431,31;3622,21;;
0211000;"Powiat lubiński";3384,93;3611,52;3898,92;4407,02;4669,76;5261,68;5432,42;5615,55;6012,95;6281,17;6541,95;6641,40;6807,05;6955,85;7170,21;7515,99;;
0212000;"Powiat lwówecki";1748,34;1814,34;1910,31;1970,42;2065,14;2214,40;2487,06;2613,72;2714,29;2915,48;3010,71;3104,47;3132,07;3323,95;3420,20;3570,16;;
0213000;"Powiat milicki";1696,74;1733,47;1781,32;1879,99;1958,43;2190,25;2396,97;2467,59;2620,28;2784,02;2864,74;2935,92;3082,62;3221,15;3349,75;3617,72;;
0214000;"Powiat oleśnicki";1740,34;1759,35;1811,32;1900,52;2007,27;2205,88;2448,70;2528,21;2672,93;2856,02;3060,40;3254,89;3308,51;3456,50;3631,94;3857,75;;
0215000;"Powiat oławski";1972,34;2049,68;2073,00;2147,26;2282,90;2570,69;2737,90;2863,00;3030,98;3182,71;3302,68;3398,13;3538,01;3738,78;3881,26;4150,54;;
0216000;"Powiat polkowicki";2095,42;2116,76;2337,66;2395,29;2573,76;2780,45;3040,94;3177,69;3326,76;3574,09;3731,51;4050,14;4292,91;4430,87;4478,18;4794,62;;
0217000;"Powiat strzeliński";1948,89;1993,21;2045,89;2135,19;2195,48;2385,80;2676,17;2860,62;2958,48;3102,58;3293,97;3393,16;3485,97;3595,32;3725,39;4082,13;;
0218000;"Powiat średzki";1934,31;2010,33;2112,73;2166,62;2220,80;2452,93;2720,35;2875,09;2993,49;3358,61;3454,21;3602,22;3879,13;3826,72;4029,00;4389,17;;
0219000;"Powiat świdnicki";1898,74;1992,17;2086,88;2163,89;2284,51;2507,13;2752,82;2939,85;3008,78;3178,31;3279,67;3394,63;3547,60;3736,97;3887,57;4141,32;;
0220000;"Powiat trzebnicki";1843,55;1916,09;2003,25;2051,13;2198,96;2412,72;2668,13;2751,33;3004,13;3117,08;3202,70;3166,96;3226,50;3323,99;3437,11;3664,48;;
0221000;"Powiat wałbrzyski";1639,23;2067,74;2200,07;2290,54;2427,25;2683,57;2952,00;3144,13;3281,07;3470,48;3564,91;3138,11;3213,78;3293,54;3528,00;3638,59;;
0222000;"Powiat wołowski";1894,47;1899,98;1962,85;2032,95;2089,54;2410,69;2728,85;2892,09;3036,22;3313,99;3394,22;3554,83;3791,34;4001,80;4202,10;4651,04;;
0223000;"Powiat wrocławski";2104,18;2221,17;2232,00;2285,63;2526,97;2697,55;2852,35;3003,49;3195,30;3416,69;3531,74;3638,25;3814,74;3706,59;3964,54;4324,13;;
0224000;"Powiat ząbkowicki";1880,11;1904,57;1979,31;2084,21;2140,38;2307,68;2487,51;2579,21;2709,91;2923,66;3097,44;3201,11;3284,04;3388,52;3434,23;3583,79;;
0225000;"Powiat zgorzelecki";2663,37;2695,69;2931,96;2900,76;3033,50;3232,80;3506,50;3765,10;3133,95;3264,77;3406,01;3435,69;3551,19;3630,73;3680,53;3866,56;;
0226000;"Powiat złotoryjski";1822,97;1893,55;2022,18;2104,68;2240,46;2454,96;2733,11;3054,76;3159,35;3309,08;3424,12;3574,21;3681,55;3826,13;3922,04;4113,06;;
0261000;"Powiat m.Jelenia Góra";2106,23;2175,01;2233,19;2286,11;2398,28;2548,93;2795,85;2913,03;2969,75;3192,15;3291,09;3367,22;3577,03;3835,12;3979,80;4237,50;;
0262000;"Powiat m.Legnica";1916,23;1958,43;1975,71;2020,14;2110,66;2282,17;2543,39;2709,33;2763,74;2899,24;3034,05;3188,81;3406,69;3582,11;3728,92;3998,28;;
0264000;"Powiat m.Wrocław";2298,65;2367,30;2511,41;2649,62;2797,71;3048,98;3415,39;3556,10;3675,85;3827,68;3923,93;4129,56;4337,99;4569,88;4800,54;5070,35;;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;;;;;;;3735,14;3943,28;4036,65;4180,67;4481,44;;
0401000;"Powiat aleksandrowski";1666,30;1718,03;1768,67;1813,70;1931,33;2048,15;2264,20;2362,55;2529,72;2624,54;2752,37;2913,18;2992,70;3099,06;3170,04;3399,70;;
0402000;"Powiat brodnicki";1732,43;1773,08;1838,10;1939,95;2041,19;2198,64;2367,29;2454,56;2593,62;2714,96;2878,25;2989,17;3146,55;3165,06;3348,46;3552,02;;
0403000;"Powiat bydgoski";1741,56;1784,25;1841,90;1930,38;1966,50;2236,28;2538,37;2611,54;2710,17;2876,85;3028,70;3233,47;3410,14;3548,05;3656,85;3933,52;;
0404000;"Powiat chełmiński";1876,56;1950,95;2045,35;1779,56;1919,16;2108,73;2269,91;2452,10;2685,20;2772,46;2901,58;3095,76;3250,60;3299,94;3435,24;3639,96;;
